Entity,Code,Year,Average length of stay
Madagascar,MDG,1995,5.12
Madagascar,MDG,2000,4.0
Madagascar,MDG,2005,4.0
Madagascar,MDG,2010,4.0
Madagascar,MDG,2015,20.0
Madagascar,MDG,2021,23.0
Mexico,MEX,1995,3.71
Mexico,MEX,2000,3.44
Mexico,MEX,2005,3.15
Mexico,MEX,2010,3.8501208
Mexico,MEX,2015,3.95
Mexico,MEX,2021,3.53
Philippines,PHL,1995,2.7
Philippines,PHL,2000,2.73
Philippines,PHL,2005,2.58
Philippines,PHL,2010,2.3
Philippines,PHL,2015,2.39
Philippines,PHL,2021,9.55
Sri Lanka,LKA,2010,10.0
Sri Lanka,LKA,2015,10.1
Sri Lanka,LKA,2021,15.1
