Entity,Code,Year,Fruit | 00002919 || Food available for consumption | 0645pc || kilograms per year per capita
Guinea-Bissau,GNB,1961,48.189716
Guinea-Bissau,GNB,1970,51.70421
Guinea-Bissau,GNB,1980,45.185978
Guinea-Bissau,GNB,1990,53.0564
Guinea-Bissau,GNB,2000,55.135357
Guinea-Bissau,GNB,2010,50.96018
Guinea-Bissau,GNB,2020,47.251392
Japan,JPN,1961,29.116707
Japan,JPN,1970,52.98691
Japan,JPN,1980,54.80051
Japan,JPN,1990,49.626526
Japan,JPN,2000,50.978455
Japan,JPN,2010,35.360096
Japan,JPN,2020,33.506306
Tanzania,TZA,1961,52.08629
Tanzania,TZA,1970,61.08078
Tanzania,TZA,1980,49.560448
Tanzania,TZA,1990,41.61269
Tanzania,TZA,2000,42.398285
Tanzania,TZA,2010,83.06977
Tanzania,TZA,2020,69.63319
