Entity,Code,Year,Per capita domestic aviation CO2,Continent,"GDP per capita, PPP (constant 2017 international $)",Year.1
Afghanistan,AFG,2018,1.488983188632785,,2060.699,2018.0
Algeria,DZA,2018,4.426574933401561,,11725.878,2018.0
Angola,AGO,2018,2.2125202581165215,,6878.5933,2018.0
Argentina,ARG,2018,34.833742154553825,,22747.242,2018.0
Australia,AUS,2018,267.16724250943844,,49052.816,2018.0
Austria,AUT,2018,3.690322874059917,,55217.285,2018.0
Belarus,BLR,2018,0.0,,18974.7,2018.0
Bolivia,BOL,2018,27.093970519246444,,8466.293,2018.0
Brazil,BRA,2018,42.85892023387701,,14619.591,2018.0
Cambodia,KHM,2018,2.112523937961103,,4217.6216,2018.0
Canada,CAN,2018,168.26738009232804,,48962.48,2018.0
Chile,CHL,2018,70.45835435034336,,25071.99,2018.0
Croatia,HRV,2018,8.119856779196793,,28225.002,2018.0
Czechia,CZE,2018,0.2327467352788389,,39941.285,2018.0
Denmark,DNK,2018,32.00817489568846,,56178.773,2018.0
France,FRA,2018,69.66660845347818,,45245.96,2018.0
Germany,DEU,2018,18.37714306555416,,53431.395,2018.0
Iran,IRN,2018,21.382574185233594,,14628.946,2018.0
Iraq,IRQ,2018,1.5838034671217835,,9995.05,2018.0
Ireland,IRL,2018,1.0090622075803282,,83340.39,2018.0
Italy,ITA,2018,37.13227462296512,,42045.92,2018.0
Norway,NOR,2018,209.23018225393247,,64341.258,2018.0
Papua New Guinea,PNG,2018,20.126236419076644,,3864.9446,2018.0
Sweden,SWE,2018,54.7724798428455,,52349.293,2018.0
United States,USA,2018,385.5203968376256,,61355.65,2018.0
