Entity,Code,Year,Death rate in ongoing conflicts (best estimate) - Conflict type: extrasystemic,Death rate in ongoing conflicts (best estimate) - Conflict type: intrastate,Death rate in ongoing conflicts (best estimate) - Conflict type: interstate
World,OWID_WRL,1991,0.0,0.89874214,0.40604693
World,OWID_WRL,1994,0.0,0.68067575,0.0007441016
World,OWID_WRL,1997,0.0,0.6871698,0.0021564795
World,OWID_WRL,2000,0.0,0.45937014,0.8191772
World,OWID_WRL,2003,0.0,0.22921564,0.12805833
World,OWID_WRL,2006,0.0,0.29775167,0.0
World,OWID_WRL,2009,0.0,0.5030504,0.0
World,OWID_WRL,2012,0.0,1.0315049,0.005138971
World,OWID_WRL,2015,0.0,1.3981371,0.0008506701
World,OWID_WRL,2018,0.0,0.71235824,0.003132048
World,OWID_WRL,2022,0.0,1.5374888,1.0275575
World,OWID_WRL,1946,1.7845484,10.583628,0.0058449553
World,OWID_WRL,1949,1.761051,15.971878,0.42041847
World,OWID_WRL,1952,1.7943162,0.12136575,3.8554046
World,OWID_WRL,1955,0.8739043,0.2641323,0.0
World,OWID_WRL,1958,0.8384102,0.7619629,0.051583894
World,OWID_WRL,1961,0.8472906,1.6501625,0.045562748
World,OWID_WRL,1964,0.23114197,1.7006278,0.012769596
World,OWID_WRL,1967,0.23967977,0.73568934,2.6812046
World,OWID_WRL,1970,0.21726084,1.4077721,4.040791
World,OWID_WRL,1973,0.24969156,1.2166357,4.2365966
World,OWID_WRL,1976,0.0,2.5754983,0.008061369
World,OWID_WRL,1979,0.0,2.5754724,1.0377237
World,OWID_WRL,1982,0.0,3.0032413,2.1004734
World,OWID_WRL,1985,0.0,3.382019,1.3306866
World,OWID_WRL,1988,0.0,1.7127625,1.2671859
