Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Autism spectrum disorders - Sex: Both - Age: Age-standardized (Rate)
Belgium,BEL,1990,85.8
Belgium,BEL,1995,85.87
Belgium,BEL,2000,85.67
Belgium,BEL,2005,85.5
Belgium,BEL,2010,85.62
Belgium,BEL,2015,85.79
Belgium,BEL,2019,85.91
Ecuador,ECU,1990,51.93
Ecuador,ECU,1995,51.9
Ecuador,ECU,2000,51.89
Ecuador,ECU,2005,51.98
Ecuador,ECU,2010,51.98
Ecuador,ECU,2015,52.09
Ecuador,ECU,2019,52.12
Libya,LBY,1990,44.48
Libya,LBY,1995,43.64
Libya,LBY,2000,43.73
Libya,LBY,2005,43.84
Libya,LBY,2010,43.88
Libya,LBY,2015,43.85
Libya,LBY,2019,43.69
