Entity,Code,Year,Individuals using the Internet (% of population)
Algeria,DZA,1990,0.0
Algeria,DZA,2000,0.4917057
Algeria,DZA,2010,12.5
Barbados,BRB,1990,0.0
Barbados,BRB,2000,3.9736784
Barbados,BRB,2010,65.1
Botswana,BWA,1960,0.0
Botswana,BWA,1970,0.0
Botswana,BWA,1980,0.0
Botswana,BWA,1990,0.0
Botswana,BWA,2000,2.9026666
Botswana,BWA,2010,6.0
Costa Rica,CRI,1990,0.0
Costa Rica,CRI,2000,5.800253
Costa Rica,CRI,2010,36.5
Costa Rica,CRI,2021,82.749016
Morocco,MAR,1990,0.0
Morocco,MAR,2000,0.6937913
Morocco,MAR,2010,52.0
Morocco,MAR,2021,88.13032
Seychelles,SYC,1990,0.0
Seychelles,SYC,2000,7.3956294
Seychelles,SYC,2010,41.0
South Asia (WB),,1990,0.0
South Asia (WB),,2000,0.47542065
South Asia (WB),,2010,7.1692076
Turkmenistan,TKM,1990,0.0
Turkmenistan,TKM,2000,0.13328218
Turkmenistan,TKM,2010,3.0
