Entity,Code,Year,Children (0-14) living with HIV
Ecuador,ECU,1990,100
Ecuador,ECU,1995,500
Ecuador,ECU,2000,570
Ecuador,ECU,2005,850
Ecuador,ECU,2010,1000
Ecuador,ECU,2015,1100
Ecuador,ECU,2021,1100
Papua New Guinea,PNG,1990,100
Papua New Guinea,PNG,1995,100
Papua New Guinea,PNG,2000,630
Papua New Guinea,PNG,2005,1700
Papua New Guinea,PNG,2010,2600
Papua New Guinea,PNG,2015,3100
Papua New Guinea,PNG,2021,3500
Tanzania,TZA,1990,47000
Tanzania,TZA,1995,110000
Tanzania,TZA,2000,160000
Tanzania,TZA,2005,180000
Tanzania,TZA,2010,160000
Tanzania,TZA,2015,130000
Tanzania,TZA,2021,96000
