Entity,Code,Year,"Prevalence of obesity among adults, BMI >= 30 (age-standardized estimate) (%) - Sex: both sexes - Age group: 18+  years"
Barbados,BRB,1975,7.7
Barbados,BRB,1980,9.3
Barbados,BRB,1985,10.5
Barbados,BRB,1990,11.6
Barbados,BRB,1995,13.1
Barbados,BRB,2000,15.1
Barbados,BRB,2005,17.4
Barbados,BRB,2010,19.8
Barbados,BRB,2016,23.1
Latvia,LVA,1975,13.4
Latvia,LVA,1980,14.8
Latvia,LVA,1985,16.2
Latvia,LVA,1990,17.3
Latvia,LVA,1995,18.3
Latvia,LVA,2000,19.3
Latvia,LVA,2005,20.5
Latvia,LVA,2010,21.8
Latvia,LVA,2016,23.6
Malaysia,MYS,1975,1.4
Malaysia,MYS,1980,2.0
Malaysia,MYS,1985,2.8
Malaysia,MYS,1990,3.8
Malaysia,MYS,1995,5.1
Malaysia,MYS,2000,7.0
Malaysia,MYS,2005,9.4
Malaysia,MYS,2010,12.0
Malaysia,MYS,2016,15.6
Mozambique,MOZ,1975,0.7
Mozambique,MOZ,1980,1.0
Mozambique,MOZ,1985,1.4
Mozambique,MOZ,1990,2.1
Mozambique,MOZ,1995,2.8
Mozambique,MOZ,2000,3.7
Mozambique,MOZ,2005,4.6
Mozambique,MOZ,2010,5.7
Mozambique,MOZ,2016,7.2
Turkey,TUR,1975,8.6
Turkey,TUR,1980,10.4
Turkey,TUR,1985,13.0
Turkey,TUR,1990,16.3
Turkey,TUR,1995,19.4
Turkey,TUR,2000,22.2
Turkey,TUR,2005,25.1
Turkey,TUR,2010,28.2
Turkey,TUR,2016,32.1
