Entity,Code,Year,Gini coefficient of lifespan inequality - Sex: female
Bermuda,BMU,1950,0.24407624
Bermuda,BMU,1960,0.14394468
Bermuda,BMU,1970,0.11153013
Bermuda,BMU,1980,0.09591725
Bermuda,BMU,1990,0.09506708
Bermuda,BMU,2000,0.08636231
Bermuda,BMU,2010,0.077851705
Bermuda,BMU,2021,0.083712064
Isle of Man,IMN,1950,0.18887517
Isle of Man,IMN,1960,0.16135396
Isle of Man,IMN,1970,0.14882948
Isle of Man,IMN,1980,0.13342473
Isle of Man,IMN,1990,0.117515
Isle of Man,IMN,2000,0.11422036
Isle of Man,IMN,2010,0.09997969
Isle of Man,IMN,2021,0.09565715
Latvia,LVA,1950,0.13142079
Latvia,LVA,1960,0.12177373
Latvia,LVA,1970,0.12040443
Latvia,LVA,1980,0.11795141
Latvia,LVA,1990,0.11300174
Latvia,LVA,2000,0.1081953
Latvia,LVA,2010,0.09870766
Latvia,LVA,2021,0.09359777
Nicaragua,NIC,1950,0.4141465
Nicaragua,NIC,1960,0.36320466
Nicaragua,NIC,1970,0.27462828
Nicaragua,NIC,1980,0.23756775
Nicaragua,NIC,1990,0.17926651
Nicaragua,NIC,2000,0.14137138
Nicaragua,NIC,2010,0.11822145
Nicaragua,NIC,2021,0.10461689
Northern Mariana Islands,MNP,1950,0.20866732
Northern Mariana Islands,MNP,1960,0.178265
Northern Mariana Islands,MNP,1970,0.15637287
Northern Mariana Islands,MNP,1980,0.13480464
Northern Mariana Islands,MNP,1990,0.12557228
Northern Mariana Islands,MNP,2000,0.10461433
Northern Mariana Islands,MNP,2010,0.09030429
Northern Mariana Islands,MNP,2021,0.09151288
Oman,OMN,1950,0.5721851
Oman,OMN,1960,0.5004648
Oman,OMN,1970,0.3563529
Oman,OMN,1980,0.21667999
Oman,OMN,1990,0.12908183
Oman,OMN,2000,0.10333621
Oman,OMN,2010,0.09336368
Oman,OMN,2021,0.09380759
Portugal,PRT,1940,0.32030892
Portugal,PRT,1950,0.25191334
Portugal,PRT,1960,0.18977197
Portugal,PRT,1970,0.15644841
Portugal,PRT,1980,0.11396209
Portugal,PRT,1990,0.0971478
Portugal,PRT,2000,0.08791677
Portugal,PRT,2010,0.07801088
Portugal,PRT,2021,0.074806936
Ukraine,UKR,1950,0.17870542
Ukraine,UKR,1960,0.1352315
Ukraine,UKR,1970,0.130384
Ukraine,UKR,1980,0.1252064
Ukraine,UKR,1990,0.11441634
Ukraine,UKR,2000,0.113036714
Ukraine,UKR,2010,0.10319971
Ukraine,UKR,2021,0.10001324
