Entity,Code,Year,Conversion as share of forest area
Bangladesh,BGD,1990,0.0
Bangladesh,BGD,2000,-0.1666380257559898
Bangladesh,BGD,2010,-0.0524269993751126
Bangladesh,BGD,2015,0.0
Brazil,BRA,1990,-0.642036481699717
Brazil,BRA,2000,-0.7169065010599022
Brazil,BRA,2010,-0.3008674877687918
Brazil,BRA,2015,-0.2883674998729868
Cameroon,CMR,1990,-0.4011111111111111
Cameroon,CMR,2000,-0.3227226867566555
Cameroon,CMR,2010,-0.267936430168111
Cameroon,CMR,2015,-0.2715746675150142
China,CHN,1990,1.2638364155308317
China,CHN,2000,1.333882860815969
China,CHN,2010,0.96543857800379
China,CHN,2015,0.9209904693066976
Congo,COG,1990,-0.053775487340354
Congo,COG,2000,-0.0540662311331381
Congo,COG,2010,-0.0543601359003397
Congo,COG,2015,-0.0626845332727685
India,IND,1990,0.5713347305201913
India,IND,2000,0.2818422571052359
India,IND,2010,0.3833314147576839
India,IND,2015,0.3761224374541141
Indonesia,IDN,1990,-1.4564089586233075
Indonesia,IDN,2000,-0.1600315955766193
Indonesia,IDN,2015,-0.6092316046129611
