Entity,Code,Year,Life expectancy - Sex: female - Age: at birth - Variant: estimates,Life expectancy - Sex: male - Age: at birth - Variant: estimates,Population - Sex: all - Age: all - Variant: estimates,Continent
Algeria,DZA,2021,78.0,74.9,44177964.0,
Australia,AUS,2021,85.8,83.2,25921094.0,
Bangladesh,BGD,2021,74.3,70.6,169356240.0,
Barbados,BRB,2021,79.4,75.6,281204.0,
Brazil,BRA,2021,76.0,69.6,214326220.0,
Burundi,BDI,2021,63.6,59.7,12551215.0,
Chad,TCD,2021,54.3,50.8,17179744.0,
China,CHN,2021,81.2,75.5,1425893500.0,
Cote d'Ivoire,CIV,2021,59.9,57.4,27478250.0,
Democratic Republic of Congo,COD,2021,61.5,57.0,95894120.0,
Eswatini,SWZ,2021,61.2,53.4,1192273.0,
Ethiopia,ETH,2021,68.3,61.9,120283020.0,
France,FRA,2021,85.5,79.4,64531450.0,
Germany,DEU,2021,83.2,78.1,83408560.0,
India,IND,2021,68.9,65.8,1407563900.0,
Iran,IRN,2021,76.8,71.2,87923430.0,
Japan,JPN,2021,87.7,81.8,124612530.0,
Kazakhstan,KAZ,2021,73.1,65.5,19196468.0,
Lesotho,LSO,2021,55.9,50.4,2281464.0,
Malaysia,MYS,2021,77.4,72.7,33573870.0,
Mauritania,MRT,2021,66.1,62.7,4614981.0,
Mexico,MEX,2021,74.9,66.1,126705140.0,
Namibia,NAM,2021,63.0,55.7,2530150.0,
New Zealand,NZL,2021,84.3,80.6,5129730.0,
Nigeria,NGA,2021,53.1,52.3,213401330.0,
Palau,PLW,2021,70.6,62.4,18050.0,
Philippines,PHL,2021,71.5,67.2,113880340.0,
Qatar,QAT,2021,80.9,78.3,2688239.0,
Russia,RUS,2021,74.8,64.2,145102750.0,
Somalia,SOM,2021,57.4,53.2,17065588.0,
South Africa,ZAF,2021,65.0,59.5,59392256.0,
Tanzania,TZA,2021,68.3,64.2,63588332.0,
Tokelau,TKL,2021,75.9,74.4,1869.0,
Tonga,TON,2021,73.7,68.4,106034.0,
Turkey,TUR,2021,79.1,73.0,84775410.0,
Ukraine,UKR,2021,76.7,66.5,43531424.0,
United States,USA,2021,80.2,74.3,336997630.0,
Vietnam,VNM,2021,78.2,69.1,97468024.0,
Yemen,YEM,2021,67.1,60.6,32981644.0,
