Entity,Code,Year,International Tourist Arrivals
Africa,,1950,500000
Africa,,1960,800000
Africa,,1970,2400000
Africa,,1980,7200000
Africa,,1990,15200000
Africa,,2000,27900000
Africa,,2010,50400000
Africa,,2018,67000000
Americas,,1950,7500000
Americas,,1960,16700000
Americas,,1970,42300000
Americas,,1980,62300000
Americas,,1990,92800000
Americas,,2000,128200000
Americas,,2010,150100000
Americas,,2018,217000000
Asia & Pacific,,1950,200000
Asia & Pacific,,1960,900000
Asia & Pacific,,1970,6200000
Asia & Pacific,,1980,23000000
Asia & Pacific,,1990,56200000
Asia & Pacific,,2000,110600000
Asia & Pacific,,2010,205500000
Asia & Pacific,,2018,343000000
Europe,,1950,16800000
Europe,,1960,50400000
Europe,,1970,113000000
Europe,,1980,178500000
Europe,,1990,265600000
Europe,,2000,391000000
Europe,,2010,489400000
Europe,,2018,713000000
Middle East,,1950,200000
Middle East,,1960,600000
Middle East,,1970,1900000
Middle East,,1980,7100000
Middle East,,1990,9600000
Middle East,,2000,24400000
Middle East,,2010,55400000
Middle East,,2018,64000000
