Entity,Code,Year,Work is a duty towards society: Strongly agree,Work is a duty towards society: Agree,Work is a duty towards society: Neither agree nor disagree,Work is a duty towards society: Disagree,Work is a duty towards society: Strongly disagree,Work is a duty towards society: Don't know,Work is a duty towards society: No answer
Bolivia,BOL,2022,23.75423,64.10257,3.725206,6.531204,0.822448,1.015965,0.0483793
Brazil,BRA,2022,,60.62389,14.91195,23.19289,,1.271275,0.0
China,CHN,2022,25.06307,57.80948,5.037762,11.38932,0.5962052,0.0,0.1041643
Egypt,EGY,2022,65.16666,29.0,4.833333,0.75,,0.1666667,0.0833333
France,FRA,2022,32.64724,37.14114,13.80023,9.320913,6.569154,0.3885514,0.1327781
Germany,DEU,2022,22.99027,52.24586,10.76378,10.10335,2.072604,1.336915,0.487226
Japan,JPN,2022,12.26903,45.75019,28.15965,7.390983,2.217295,3.769402,0.443459
Mexico,MEX,2022,37.54967,31.72725,13.82471,14.60547,1.815622,0.4772863,0.0
Morocco,MAR,2022,38.83333,31.0,13.75,13.91667,2.5,0.0,0.0
Russia,RUS,2022,18.24233,28.4782,28.54402,17.60569,5.493335,1.636425,0.0
Ukraine,UKR,2022,12.33307,26.76535,23.54513,24.15091,7.294686,3.172578,2.73828
United Kingdom,GBR,2022,10.60038,51.48908,20.43003,13.97958,2.856914,0.6362454,0.0077657
United States,USA,2022,13.52726,44.98814,27.01805,10.2652,3.359789,0.0,0.8415601
