Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels, in both sexes aged all ages"
Brazil,BRA,1990,56084.89
Brazil,BRA,1995,41323.49
Brazil,BRA,2000,32814.36
Brazil,BRA,2005,27237.307
Brazil,BRA,2010,22099.932
Brazil,BRA,2015,16879.137
Brazil,BRA,2019,14016.447
China,CHN,1990,1329828.8
China,CHN,1995,1163561.6
China,CHN,2000,967080.06
China,CHN,2005,830922.6
China,CHN,2010,598866.6
China,CHN,2015,447926.28
China,CHN,2019,363029.44
Democratic Republic of Congo,COD,1990,58297.727
Democratic Republic of Congo,COD,1995,63344.844
Democratic Republic of Congo,COD,2000,68752.11
Democratic Republic of Congo,COD,2005,72305.47
Democratic Republic of Congo,COD,2010,72034.82
Democratic Republic of Congo,COD,2015,62573.273
Democratic Republic of Congo,COD,2019,58037.863
Ethiopia,ETH,1990,121037.73
Ethiopia,ETH,1995,122669.43
Ethiopia,ETH,2000,112716.08
Ethiopia,ETH,2005,98975.91
Ethiopia,ETH,2010,82520.76
Ethiopia,ETH,2015,72415.77
Ethiopia,ETH,2019,67826.54
India,IND,1990,1040986.1
India,IND,1995,1006123.56
India,IND,2000,980036.5
India,IND,2005,887078.56
India,IND,2010,815169.7
India,IND,2015,680665.7
India,IND,2019,606889.75
Mexico,MEX,1990,16301.504
Mexico,MEX,1995,14125.902
Mexico,MEX,2000,10925.942
Mexico,MEX,2005,10720.9
Mexico,MEX,2010,11193.208
Mexico,MEX,2015,11058.727
Mexico,MEX,2019,9853.921
Nigeria,NGA,1990,164658.12
Nigeria,NGA,1995,185099.08
Nigeria,NGA,2000,197166.55
Nigeria,NGA,2005,178632.05
Nigeria,NGA,2010,160716.9
Nigeria,NGA,2015,143407.16
Nigeria,NGA,2019,128259.33
Pakistan,PAK,1990,167808.25
Pakistan,PAK,1995,183617.5
Pakistan,PAK,2000,175104.2
Pakistan,PAK,2005,167235.81
Pakistan,PAK,2010,152239.95
Pakistan,PAK,2015,132876.92
Pakistan,PAK,2019,116090.336
