Entity,Code,Year,2.1.1 Number of undernourished people | 00000000024001 || Value | 006132 || million Number
Djibouti,DJI,2005,200000.0
Djibouti,DJI,2010,200000.0
Djibouti,DJI,2015,100000.0
Dominica,DMA,2005,100000.0
Dominica,DMA,2010,100000.0
Dominica,DMA,2015,100000.0
East Timor,TLS,2005,300000.0
East Timor,TLS,2010,300000.0
East Timor,TLS,2015,300000.0
Ethiopia,ETH,2005,28300000.0
Ethiopia,ETH,2010,21600000.0
Ethiopia,ETH,2015,14900000.0
Polynesia,OWID_PYA,2000,100000.0
Polynesia,OWID_PYA,2005,100000.0
Polynesia,OWID_PYA,2010,100000.0
Polynesia,OWID_PYA,2015,100000.0
Polynesia,OWID_PYA,2021,100000.0
Samoa,WSM,2005,100000.0
Samoa,WSM,2010,100000.0
Samoa,WSM,2015,100000.0
