Entity,Code,Year,Fertilizer consumption (kilograms per hectare of arable land)
Afghanistan,AFG,1961,0.14379086
Afghanistan,AFG,1970,2.4650571
Afghanistan,AFG,1980,6.463464
Afghanistan,AFG,1990,5.62579
Afghanistan,AFG,2000,0.6507875
Afghanistan,AFG,2010,1.7778596
Afghanistan,AFG,2020,8.714495
Cambodia,KHM,1961,1.760747
Cambodia,KHM,1970,1.2862978
Cambodia,KHM,1980,4.05
Cambodia,KHM,1990,1.1096076
Cambodia,KHM,2010,15.413332
Cambodia,KHM,2020,46.68823
Greece,GRC,1961,56.808876
Greece,GRC,1970,111.84452
Greece,GRC,1980,181.46745
Greece,GRC,1990,240.0828
Greece,GRC,2000,166.36264
Greece,GRC,2010,126.18789
Greece,GRC,2020,149.96507
