Entity,Code,Year,Inbound arrivals (same-night) per 1000 people
Benin,BEN,2015,2.195231
Cameroon,CMR,2010,0.20122704
Dominican Republic,DOM,1995,3.8120632
Dominican Republic,DOM,2000,21.42659
Dominican Republic,DOM,2005,31.64291
Dominican Republic,DOM,2010,36.109737
Dominican Republic,DOM,2015,50.836876
Dominican Republic,DOM,2021,29.951773
Saint Vincent and the Grenadines,VCT,1995,1383.6952
Saint Vincent and the Grenadines,VCT,2000,1607.6323
Saint Vincent and the Grenadines,VCT,2005,1436.7816
Saint Vincent and the Grenadines,VCT,2010,1454.3925
Saint Vincent and the Grenadines,VCT,2015,1230.1278
Saint Vincent and the Grenadines,VCT,2021,311.4817
