Entity,Code,Year,Prevalence of forced sex among girls
Afghanistan,AFG,2005,1.0
Azerbaijan,AZE,2005,0.1
Cameroon,CMR,2005,16.0
Chad,TCD,2005,2.0
Dominican Republic,DOM,2005,1.0
Ethiopia,ETH,2005,5.0
Gabon,GAB,2005,9.0
Ghana,GHA,2005,10.0
Guatemala,GTM,2005,4.0
Haiti,HTI,2005,4.0
India,IND,2005,1.0
Kyrgyzstan,KGZ,2005,0.0
Malawi,MWI,2005,4.0
Mozambique,MOZ,2005,8.0
Myanmar,MMR,2005,1.0
Philippines,PHL,2005,4.0
Rwanda,RWA,2005,10.0
Sierra Leone,SLE,2005,2.0
Togo,TGO,2005,4.0
Uganda,UGA,2005,8.0
Zambia,ZMB,2005,6.0
Zimbabwe,ZWE,2005,6.0
