Entity,Code,Year,electdem_vdem_owid,electdem_vdem_high_owid,electdem_vdem_low_owid
Argentina,ARG,1789,0.081,0.101,0.06
Argentina,ARG,1850,0.118,0.136,0.097
Argentina,ARG,1900,0.351,0.386,0.305
Argentina,ARG,1950,0.38,0.413,0.33
Argentina,ARG,2000,0.84,0.888,0.791
Argentina,ARG,2022,0.823,0.873,0.778
Australia,AUS,1789,0.116,0.131,0.093
Australia,AUS,1850,0.315,0.334,0.297
Australia,AUS,1900,0.635,0.684,0.595
Australia,AUS,1950,0.802,0.861,0.762
Australia,AUS,2000,0.888,0.929,0.854
Australia,AUS,2022,0.858,0.903,0.82
Botswana,BWA,1900,0.031,0.041,0.021
Botswana,BWA,1950,0.036,0.045,0.024
Botswana,BWA,2000,0.702,0.754,0.652
Botswana,BWA,2022,0.577,0.635,0.503
China,CHN,1789,0.036,0.045,0.022
China,CHN,1850,0.035,0.045,0.023
China,CHN,1900,0.056,0.067,0.042
China,CHN,1950,0.075,0.08,0.07
China,CHN,2000,0.101,0.11,0.09
China,CHN,2022,0.075,0.079,0.07
