Entity,Code,Year,Objects in space
Geostationary orbit,,1970,17
Geostationary orbit,,1980,94
Geostationary orbit,,1990,236
Geostationary orbit,,2000,383
Geostationary orbit,,2010,581
Geostationary orbit,,2023,954
High Earth orbit,,1970,14
High Earth orbit,,1980,63
High Earth orbit,,1990,181
High Earth orbit,,2000,349
High Earth orbit,,2010,422
High Earth orbit,,2023,451
Low Earth orbit,,1958,2
Low Earth orbit,,1970,481
Low Earth orbit,,1980,1371
Low Earth orbit,,1990,2281
Low Earth orbit,,2000,3312
Low Earth orbit,,2010,3672
Low Earth orbit,,2023,10225
Medium Earth orbit,,1970,85
Medium Earth orbit,,1980,151
Medium Earth orbit,,1990,335
Medium Earth orbit,,2000,511
Medium Earth orbit,,2010,674
Medium Earth orbit,,2023,977
