Entity,Code,Year,Maternal Mortality Ratio (Gapminder (2010) and World Bank (2015))
Australia,AUS,1950,109.13
Australia,AUS,2000,6.01
Australia,AUS,2020,2.0
Japan,JPN,1950,176.0
Japan,JPN,2000,7.1
Japan,JPN,2020,2.7
Sweden,SWE,1751,1046.28
Sweden,SWE,1800,895.57
Sweden,SWE,1850,467.4
Sweden,SWE,1900,188.22
Sweden,SWE,1950,61.52
Sweden,SWE,2000,4.42
Sweden,SWE,2020,7.0
Turkey,TUR,2020,13.1
United States,USA,1900,850.0
United States,USA,1950,83.0
United States,USA,2000,9.8
United States,USA,2020,23.8
