Entity,Code,Year,Median income or consumption,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,6602.424,32353592.0,
Asia,,2019,,,4627738749.0,
Benin,BEN,2019,,3156.439,12290443.0,
Bolivia,BOL,2019,14.692894,8528.749,11777318.0,
Chile,CHL,2019,,24816.611,19039484.0,
China,CHN,2019,10.724763,15977.764,1421864064.0,
Colombia,COL,2019,9.615213,14616.135,50187404.0,
East Timor,TLS,2019,,3737.7964,1280442.0,
Eswatini,SWZ,2019,,8501.267,1169620.0,
Ethiopia,ETH,2019,,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Honduras,HND,2019,6.9277115,5613.6606,9958832.0,
India,IND,2019,3.8649018,6608.624,1383112064.0,
Indonesia,IDN,2019,5.5377636,11857.789,269582880.0,
Kazakhstan,KAZ,2019,,26351.805,18754260.0,
Kiribati,KIR,2019,5.3268733,1990.518,124252.0,
Malawi,MWI,2019,1.5339028,1517.7031,18867340.0,
Malaysia,MYS,2019,,27674.402,32804024.0,
Mali,MLI,2019,,2219.0466,20567430.0,
Mauritius,MUS,2019,,23681.58,1296284.0,
Mexico,MEX,2019,,20064.5,125085312.0,
Mongolia,MNG,2019,,12458.019,3232435.0,
Montenegro,MNE,2019,,21537.809,630403.0,
Mozambique,MOZ,2019,1.2982113,1285.1848,30285602.0,
Myanmar,MMR,2019,,4829.5366,53040212.0,
Nicaragua,NIC,2019,,5348.9873,6663919.0,
Niger,NER,2019,,1217.446,23443400.0,
Nigeria,NGA,2019,,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Palestine,PSE,2019,,6245.4487,4909775.0,
Philippines,PHL,2019,,8731.861,110380800.0,
Portugal,PRT,2019,29.427643,34945.66,10289921.0,
Russia,RUS,2019,17.90123,27254.574,145742288.0,
Rwanda,RWA,2019,,2191.4016,12835029.0,
Senegal,SEN,2019,,3430.484,16000783.0,
South Africa,ZAF,2019,,13852.206,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,,42758.59,51803832.0,
Sri Lanka,LKA,2019,6.91304,13639.021,21649664.0,
Sudan,SDN,2019,,4133.1304,43232092.0,
Tajikistan,TJK,2019,,3575.2798,9337008.0,
Tanzania,TZA,2019,,2577.6658,59872584.0,
United Kingdom,GBR,2019,47.227264,47362.266,66778660.0,
United States,USA,2019,65.042755,62478.254,334319680.0,
Vietnam,VNM,2019,,10252.005,95776712.0,
Zambia,ZMB,2019,,3372.359,18380478.0,
