Entity,Code,Year,polrights_score_fh
Argentina,ARG,2005,34
Argentina,ARG,2008,32
Argentina,ARG,2010,32
Argentina,ARG,2012,31
Argentina,ARG,2014,31
Argentina,ARG,2016,33
Argentina,ARG,2018,34
Argentina,ARG,2020,35
Argentina,ARG,2022,35
Australia,AUS,2005,39
Australia,AUS,2008,39
Australia,AUS,2010,39
Australia,AUS,2012,39
Australia,AUS,2014,39
Australia,AUS,2016,40
Australia,AUS,2018,40
Australia,AUS,2020,40
Australia,AUS,2022,38
Botswana,BWA,2005,31
Botswana,BWA,2008,30
Botswana,BWA,2010,29
Botswana,BWA,2012,28
Botswana,BWA,2014,28
Botswana,BWA,2016,28
Botswana,BWA,2018,28
Botswana,BWA,2020,28
Botswana,BWA,2022,28
China,CHN,2005,2
China,CHN,2008,2
China,CHN,2010,2
China,CHN,2012,2
China,CHN,2014,2
China,CHN,2016,1
China,CHN,2018,-1
China,CHN,2020,-2
China,CHN,2022,-2
