Entity,Code,Year,Deaths - Tetanus - Sex: Both - Age: All Ages (Number)
Central African Republic,CAF,1990,140
Central African Republic,CAF,1995,199
Central African Republic,CAF,2000,208
Central African Republic,CAF,2005,154
Central African Republic,CAF,2010,146
Central African Republic,CAF,2015,158
Central African Republic,CAF,2019,136
Haiti,HTI,1990,916
Haiti,HTI,1995,700
Haiti,HTI,2000,497
Haiti,HTI,2005,377
Haiti,HTI,2010,294
Haiti,HTI,2015,222
Haiti,HTI,2019,192
Malawi,MWI,1990,574
Malawi,MWI,1995,522
Malawi,MWI,2000,498
Malawi,MWI,2005,557
Malawi,MWI,2010,400
Malawi,MWI,2015,331
Malawi,MWI,2019,279
