Entity,Code,Year,Statin use,"Age-standardized deaths that are from cardiovascular diseases per 100,000 people, in both sexes aged all ages",Population,Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Austria,AUT,2019,223.5,121.11068,8879939.0,
Belarus,BLR,2019,55.0,,9673971.0,
Belgium,BEL,2019,271.5,,11510569.0,
Brazil,BRA,2019,107.0,144.86647,211782880.0,
Bulgaria,BGR,2019,94.0,386.06567,7052536.0,
Chile,CHL,2019,45.5,94.80325,19039484.0,
Colombia,COL,2019,14.3,134.32149,50187404.0,
Croatia,HRV,2019,156.5,191.35922,4129749.0,
Egypt,EGY,2019,51.4,459.27567,105618672.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,145.8,,64399760.0,
Germany,DEU,2019,180.6,119.028015,83148144.0,
Greece,GRC,2019,250.5,122.66516,10574026.0,
Hungary,HUN,2019,192.9,266.44943,9771799.0,
Italy,ITA,2019,144.7,90.439316,59727936.0,
Japan,JPN,2019,53.2,66.68943,125791680.0,
Latvia,LVA,2019,193.1,291.66214,1916552.0,
Lithuania,LTU,2019,113.8,266.22968,2849083.0,
Malaysia,MYS,2019,65.9,113.19008,32804024.0,
Mexico,MEX,2019,28.4,151.37212,125085312.0,
Netherlands,NLD,2019,248.8,72.56911,17363260.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,304.7,,5348285.0,
Oceania,,2019,,,43278474.0,
Peru,PER,2019,5.9,64.26168,32824864.0,
Philippines,PHL,2019,23.2,274.10104,110380800.0,
Poland,POL,2019,241.2,182.57413,38493600.0,
Portugal,PRT,2019,205.4,95.013466,10289921.0,
Romania,ROU,2019,141.6,310.1488,19524212.0,
Russia,RUS,2019,58.6,314.40408,145742288.0,
Serbia,SRB,2019,85.1,276.95837,7401056.0,
Slovakia,SVK,2019,175.5,210.94542,5453932.0,
South Africa,ZAF,2019,83.9,,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,90.5,59.459312,51803832.0,
Spain,ESP,2019,188.6,77.61572,47131372.0,
Thailand,THA,2019,102.6,79.4984,71307768.0,
Turkey,TUR,2019,65.0,171.54158,83481688.0,
Ukraine,UKR,2019,32.1,441.3176,44211100.0,
United Arab Emirates,ARE,2019,92.7,123.299286,9211660.0,
United Kingdom,GBR,2019,324.5,87.690834,66778660.0,
United States,USA,2019,271.6,126.21044,334319680.0,
Uruguay,URY,2019,116.1,116.10632,3428412.0,
Venezuela,VEN,2019,14.5,,28971686.0,
