Entity,Code,Year,Objects in space
Debris,,1958,1
Debris,,1970,2481
Debris,,1980,4778
Debris,,1990,8189
Debris,,2000,16021
Debris,,2010,15907
Debris,,2021,14554
Debris,,2023,12884
Payloads,,1958,1
Payloads,,1970,280
Payloads,,1980,805
Payloads,,1990,1303
Payloads,,2000,2078
Payloads,,2010,2361
Payloads,,2021,6018
Payloads,,2023,8703
Rocket bodies,,1958,1
Rocket bodies,,1970,201
Rocket bodies,,1980,566
Rocket bodies,,1990,978
Rocket bodies,,2000,1234
Rocket bodies,,2010,1311
Rocket bodies,,2021,1498
Rocket bodies,,2023,1522
