Entity,Code,Year,share_deforestation_exported
El Salvador,SLV,2005,3.00128374329462
El Salvador,SLV,2006,3.421082396347059
El Salvador,SLV,2007,1.5719700376100396
El Salvador,SLV,2008,2.9419639886845586
El Salvador,SLV,2009,4.0307677630233725
El Salvador,SLV,2010,4.056166962821382
El Salvador,SLV,2011,6.376773727944666
El Salvador,SLV,2012,6.584141661536491
El Salvador,SLV,2013,27.647179022174317
Kenya,KEN,2005,9.625612557771769
Kenya,KEN,2006,9.212565224562528
Kenya,KEN,2007,6.94274572612073
Kenya,KEN,2008,7.383672435208717
Kenya,KEN,2009,6.83708615613507
Kenya,KEN,2010,7.293632445374955
Kenya,KEN,2011,4.571132740759708
Kenya,KEN,2012,1.3697072271078563
Kenya,KEN,2013,3.2529899916000353
Suriname,SUR,2006,0.0
Suriname,SUR,2007,10.212537939388064
Suriname,SUR,2008,12.224854220542342
Suriname,SUR,2009,14.425115829283367
Suriname,SUR,2010,30.345261491545205
Suriname,SUR,2011,20.626198285516026
Suriname,SUR,2012,25.795512080958716
Suriname,SUR,2013,20.17900925619792
