Entity,Code,Year,Total greenhouse gas emissions excluding land-use change and forestry
Guyana,GUY,1990,2290000.0
Guyana,GUY,1995,3290000.0
Guyana,GUY,2000,3250000.0
Guyana,GUY,2005,3040000.0
Guyana,GUY,2010,3580000.0
Guyana,GUY,2015,4440000.0
Guyana,GUY,2020,5280000.0
Haiti,HTI,1990,5330000.0
Haiti,HTI,1995,5850000.0
Haiti,HTI,2000,7320000.0
Haiti,HTI,2005,7820000.0
Haiti,HTI,2010,8940000.0
Haiti,HTI,2015,10090000.0
Haiti,HTI,2020,10270000.0
North America,,1990,6984510000.0
North America,,1995,7376750000.0
North America,,2000,8188460000.0
North America,,2005,8289710000.0
North America,,2010,8014550500.0
North America,,2015,7755450400.0
North America,,2020,7023810000.0
South America,,1990,1482260000.0
South America,,1995,1689400000.0
South America,,2000,1878610000.0
South America,,2005,2094290000.0
South America,,2010,2293350000.0
South America,,2015,2489010000.0
South America,,2020,2223609900.0
Suriname,SUR,1990,2820000.0
Suriname,SUR,1995,3310000.0
Suriname,SUR,2000,2670000.0
Suriname,SUR,2005,2790000.0
Suriname,SUR,2010,3290000.0
Suriname,SUR,2015,4350000.0
Suriname,SUR,2020,4310000.0
Yemen,YEM,1990,16870000.0
Yemen,YEM,1995,25770000.0
Yemen,YEM,2000,34700000.0
Yemen,YEM,2005,42520000.0
Yemen,YEM,2010,48100000.0
Yemen,YEM,2015,27900000.0
Yemen,YEM,2020,24390000.0
