Entity,Code,Year,participdem_vdem_owid,participdem_vdem_low_owid,participdem_vdem_high_owid
Argentina,ARG,1789,0.02,0.007,0.029
Argentina,ARG,1850,0.071,0.056,0.082
Argentina,ARG,1900,0.241,0.213,0.267
Argentina,ARG,1950,0.246,0.219,0.276
Argentina,ARG,2000,0.581,0.544,0.635
Argentina,ARG,2022,0.56,0.521,0.607
Australia,AUS,1789,0.03,0.01,0.04
Australia,AUS,1850,0.115,0.086,0.145
Australia,AUS,1900,0.417,0.383,0.455
Australia,AUS,1950,0.579,0.539,0.634
Australia,AUS,2000,0.645,0.61,0.696
Australia,AUS,2022,0.614,0.575,0.663
Botswana,BWA,1900,0.017,0.003,0.024
Botswana,BWA,1950,0.02,0.004,0.027
Botswana,BWA,2000,0.469,0.43,0.517
Botswana,BWA,2022,0.375,0.324,0.418
China,CHN,1789,0.013,0.004,0.019
China,CHN,1850,0.013,0.003,0.019
China,CHN,1900,0.017,0.006,0.023
China,CHN,1950,0.019,0.01,0.027
China,CHN,2000,0.043,0.028,0.058
China,CHN,2022,0.042,0.027,0.056
