Entity,Code,Year,"Deaths that are from total burden related to hepatitis b, in both sexes aged all ages"
African Region (WHO),,1990,52399.582
African Region (WHO),,1995,58227.977
African Region (WHO),,2000,64411.9
African Region (WHO),,2005,69104.78
African Region (WHO),,2010,71118.055
African Region (WHO),,2015,69736.5
African Region (WHO),,2019,71035.38
Eastern Mediterranean Region (WHO),,1990,39683.035
Eastern Mediterranean Region (WHO),,1995,41925.45
Eastern Mediterranean Region (WHO),,2000,43877.35
Eastern Mediterranean Region (WHO),,2005,41973.844
Eastern Mediterranean Region (WHO),,2010,43549.37
Eastern Mediterranean Region (WHO),,2015,46346.84
Eastern Mediterranean Region (WHO),,2019,49686.15
European Region (WHO),,1990,39014.207
European Region (WHO),,1995,47878.344
European Region (WHO),,2000,48765.777
European Region (WHO),,2005,54544.98
European Region (WHO),,2010,48971.375
European Region (WHO),,2015,40713.938
European Region (WHO),,2019,39703.477
Region of the Americas (WHO),,1990,15101.534
Region of the Americas (WHO),,1995,16455.303
Region of the Americas (WHO),,2000,17282.436
Region of the Americas (WHO),,2005,18655.791
Region of the Americas (WHO),,2010,16725.889
Region of the Americas (WHO),,2015,17458.186
Region of the Americas (WHO),,2019,18529.586
South-East Asia Region (WHO),,1990,110495.51
South-East Asia Region (WHO),,1995,118637.08
South-East Asia Region (WHO),,2000,136991.75
South-East Asia Region (WHO),,2005,151451.55
South-East Asia Region (WHO),,2010,159878.67
South-East Asia Region (WHO),,2015,171988.14
South-East Asia Region (WHO),,2019,168772.39
Western Pacific Region (WHO),,1990,266240.2
Western Pacific Region (WHO),,1995,305542.44
Western Pacific Region (WHO),,2000,301796.62
Western Pacific Region (WHO),,2005,208395.25
Western Pacific Region (WHO),,2010,199851.19
Western Pacific Region (WHO),,2015,191642.5
Western Pacific Region (WHO),,2019,205943.92
