Entity,Code,Year,"Total density per million population, positron emission tomography"
Afghanistan,AFG,2013,0.0
Canada,CAN,2013,1.14
Canada,CAN,2021,1.48
Chile,CHL,2013,0.0
Finland,FIN,2013,1.47
Finland,FIN,2021,2.71
France,FRA,2018,2.56
Greece,GRC,2013,0.45
Greece,GRC,2018,1.25
Italy,ITA,2018,3.47
Japan,JPN,2013,4.35
Japan,JPN,2018,4.63
Malaysia,MYS,2013,0.37
Mexico,MEX,2013,0.11
Mexico,MEX,2021,0.24
Pakistan,PAK,2013,0.027
Portugal,PRT,2013,0.66
South Africa,ZAF,2013,0.057
South Africa,ZAF,2021,0.051
Thailand,THA,2013,0.075
Turkey,TUR,2013,0.89
Turkey,TUR,2018,1.55
United States,USA,2018,5.41
Zimbabwe,ZWE,2013,0.0
