Entity,Code,Year,Share of children who are stunted,Share of the population using improved sanitation facilities,Population (historical estimates),Continent
Afghanistan,AFG,2021,,65.9693,40099460.0,
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,,96.608894,44177964.0,
Asia,,2021,,,4693332132.0,
Bangladesh,BGD,2021,,83.23656,169356240.0,
Benin,BEN,2021,,39.24818,12996901.0,
Burkina Faso,BFA,2021,,56.37974,22100690.0,
Burundi,BDI,2021,,58.475758,12551215.0,
Cameroon,CMR,2021,,59.843597,27198632.0,
Chad,TCD,2021,31.1,18.24577,17179744.0,
Cuba,CUB,2021,,97.56744,11256373.0,
Djibouti,DJI,2021,,73.87351,1105562.0,
East Timor,TLS,2021,,72.12398,1320944.0,
Ecuador,ECU,2021,,98.78211,17797736.0,
Ethiopia,ETH,2021,,17.616302,120283024.0,
Europe,,2021,,,746417727.0,
Guinea,GIN,2021,,58.740135,13531909.0,
Indonesia,IDN,2021,,93.12015,273753184.0,
Kiribati,KIR,2021,,61.104218,128883.0,
Liberia,LBR,2021,,48.10598,5193422.0,
Madagascar,MDG,2021,39.8,35.351006,28915652.0,
Malawi,MWI,2021,,72.446175,19889742.0,
Mali,MLI,2021,22.1,65.570915,21904990.0,
Mauritania,MRT,2021,17.4,63.587456,4614981.0,
Mexico,MEX,2021,,99.112495,126705136.0,
Mongolia,MNG,2021,,91.25568,3347782.0,
Mozambique,MOZ,2021,,40.941612,32077074.0,
Niger,NER,2021,44.4,25.584576,25252722.0,
Nigeria,NGA,2021,,62.381702,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,,79.470764,231402112.0,
Panama,PAN,2021,,87.95064,4351264.0,
Peru,PER,2021,,87.40881,33715464.0,
Philippines,PHL,2021,,93.96022,113880336.0,
Sao Tome and Principe,STP,2021,,53.421497,223118.0,
Senegal,SEN,2021,,76.0909,16876726.0,
Sierra Leone,SLE,2021,26.3,56.045444,8420642.0,
South America,,2021,,,434254167.0,
Tanzania,TZA,2021,,49.649048,63588332.0,
Tonga,TON,2021,,99.05873,106034.0,
Uganda,UGA,2021,,37.749157,45853780.0,
United States,USA,2021,,99.64867,336997632.0,
Vietnam,VNM,2021,,92.7289,97468024.0,
Zambia,ZMB,2021,,57.70632,19473132.0,
