Entity,Code,Year,Annual CO₂ emissions
High-income countries,,1980,11696909000.0
High-income countries,,1985,11288162000.0
High-income countries,,1990,12408192000.0
High-income countries,,1995,12942697000.0
High-income countries,,2000,13923694000.0
High-income countries,,2005,14504174000.0
High-income countries,,2010,14013610000.0
High-income countries,,2015,13605319000.0
High-income countries,,2022,12610532000.0
Low-income countries,,1980,166459520.0
Low-income countries,,1985,208604660.0
Low-income countries,,1990,192270180.0
Low-income countries,,1995,158744660.0
Low-income countries,,2000,167570430.0
Low-income countries,,2005,188184750.0
Low-income countries,,2010,199187780.0
Low-income countries,,2015,157779410.0
Low-income countries,,2022,210954830.0
Lower-middle-income countries,,1980,1678436400.0
Lower-middle-income countries,,1985,1984764800.0
Lower-middle-income countries,,1990,2252989700.0
Lower-middle-income countries,,1995,2402345500.0
Lower-middle-income countries,,2000,2829287200.0
Lower-middle-income countries,,2005,3401121500.0
Lower-middle-income countries,,2010,4248388000.0
Lower-middle-income countries,,2015,5198568000.0
Lower-middle-income countries,,2022,6375420400.0
Upper-middle-income countries,,1980,5494022000.0
Upper-middle-income countries,,1985,6456299000.0
Upper-middle-income countries,,1990,7350075000.0
Upper-middle-income countries,,1995,7402061300.0
Upper-middle-income countries,,2000,7795827000.0
Upper-middle-income countries,,2005,10558704000.0
Upper-middle-income countries,,2010,13764965000.0
Upper-middle-income countries,,2015,15340985000.0
Upper-middle-income countries,,2022,16903084000.0
