Entity,Code,Year,"Deaths that are from all causes attributed to unsafe sex per 100,000 people, in both sexes aged all ages"
Djibouti,DJI,1990,5.2396846
Djibouti,DJI,1995,15.929883
Djibouti,DJI,2000,71.48028
Djibouti,DJI,2005,110.129005
Djibouti,DJI,2010,109.39482
Djibouti,DJI,2015,94.3817
Djibouti,DJI,2019,79.01773
Lesotho,LSO,1990,27.986084
Lesotho,LSO,1995,183.12329
Lesotho,LSO,2000,556.2623
Lesotho,LSO,2005,821.417
Lesotho,LSO,2010,543.05707
Lesotho,LSO,2015,597.16046
Lesotho,LSO,2019,486.39783
South Africa,ZAF,1990,11.705256
South Africa,ZAF,1995,74.55386
South Africa,ZAF,2000,314.1025
South Africa,ZAF,2005,544.7184
South Africa,ZAF,2010,432.77145
South Africa,ZAF,2015,291.94382
South Africa,ZAF,2019,246.41487
