Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution, in both sexes aged all ages"
High Income (WB),,1990,476938.25
High Income (WB),,1995,455648.22
High Income (WB),,2000,416815.47
High Income (WB),,2005,374282.72
High Income (WB),,2010,346424.8
High Income (WB),,2015,321317.6
High Income (WB),,2019,323644.03
Low Income (WB),,1990,45399.375
Low Income (WB),,1995,50406.92
Low Income (WB),,2000,59460.77
Low Income (WB),,2005,66941.89
Low Income (WB),,2010,81549.016
Low Income (WB),,2015,110653.34
Low Income (WB),,2019,121232.195
Lower Middle Income (WB),,1990,608092.56
Lower Middle Income (WB),,1995,693041.8
Lower Middle Income (WB),,2000,836000.94
Lower Middle Income (WB),,2005,985497.1
Lower Middle Income (WB),,2010,1226419.0
Lower Middle Income (WB),,2015,1595294.8
Lower Middle Income (WB),,2019,1767390.6
Middle Income (WB),,1990,915963.56
Middle Income (WB),,1995,1101744.1
Middle Income (WB),,2000,1293873.8
Middle Income (WB),,2005,1485198.0
Middle Income (WB),,2010,1703758.4
Middle Income (WB),,2015,1842070.5
Middle Income (WB),,2019,1927263.8
