Entity,Code,Year,Number without access to improved sanitation (rural)
Belize,BLZ,1990,24829.56
Belize,BLZ,1995,24726.23999999999
Belize,BLZ,2000,26197.56600000001
Belize,BLZ,2005,25561.140000000003
Belize,BLZ,2010,23780.385
Belize,BLZ,2015,23145.699999999993
Botswana,BWA,1990,616886.352
Botswana,BWA,1995,581989.672
Botswana,BWA,2000,552229.405
Botswana,BWA,2005,522455.346
Botswana,BWA,2010,451379.408
Botswana,BWA,2015,412872.659
Congo,COG,2000,1257773.3280000002
Congo,COG,2005,1369329.584
Congo,COG,2010,1521582.624
Congo,COG,2015,1624954.4
Cote d'Ivoire,CIV,1990,6957340.609999999
Cote d'Ivoire,CIV,1995,7924503.996
Cote d'Ivoire,CIV,2000,8717152.444
Cote d'Ivoire,CIV,2005,9148316.66
Cote d'Ivoire,CIV,2010,9703079.043
Cote d'Ivoire,CIV,2015,10479398.943
Ethiopia,ETH,1990,42017517.0
Ethiopia,ETH,1995,49385643.0
Ethiopia,ETH,2000,53269214.59200001
Ethiopia,ETH,2005,55949005.315000005
Ethiopia,ETH,2010,57358134.99499999
Ethiopia,ETH,2015,57777244.599999994
Ghana,GHA,1990,8944268.112
Ghana,GHA,1995,9551240.832
Ghana,GHA,2000,9992622.973
Ghana,GHA,2005,10567701.864999998
Ghana,GHA,2010,11114778.52
Ghana,GHA,2015,11575239.664
Niger,NER,1990,6700067.659999999
Niger,NER,1995,7830806.012999999
Niger,NER,2000,9267981.094
Niger,NER,2005,11018718.606
Niger,NER,2010,13196976.415
Niger,NER,2015,15897746.97
