Entity,Code,Year,Nuclear (TWh growth - equivalent)
China,CHN,1966,0.0
China,CHN,1970,0.0
China,CHN,1980,0.0
China,CHN,1990,0.0
China,CHN,2000,5.0734787
China,CHN,2010,11.34436
China,CHN,2022,22.03717
Germany,DEU,1966,0.4199522
Germany,DEU,1970,4.4180098
Germany,DEU,1980,10.002243
Germany,DEU,1990,-26.022858
Germany,DEU,2000,-1.1293335
Germany,DEU,2010,12.760742
Germany,DEU,2022,-86.76984
India,IND,1966,0.0
India,IND,1970,1.6552949
India,IND,1980,0.28842258
India,IND,1990,6.7340384
India,IND,2000,8.627598
India,IND,2010,16.412418
India,IND,2022,5.29377
Japan,JPN,1966,1.5861708
Japan,JPN,1970,9.928464
Japan,JPN,1980,34.612015
Japan,JPN,1990,24.848328
Japan,JPN,2000,5.3533936
Japan,JPN,2010,42.638733
Japan,JPN,2022,-24.199142
United States,USA,1966,5.5651426
United States,USA,1970,23.526314
United States,USA,1980,-12.064026
United States,USA,1990,141.8966
United States,USA,2000,76.57959
United States,USA,2010,8.922363
United States,USA,2022,-28.865356
World,OWID_WRL,1966,25.235626
World,OWID_WRL,1970,48.496674
World,OWID_WRL,1980,173.271
World,OWID_WRL,1990,157.72461
World,OWID_WRL,2000,161.63037
World,OWID_WRL,2010,140.86084
World,OWID_WRL,2022,-334.7295
