Entity,Code,Year,Hidden Hunger Index in pre-school children (Muthayya et al. (2013)),$2.15 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2009,,,1028200528.0,
Africa,,2012,,,1110797495.0,
Algeria,DZA,2009,17.3,,35196040.0,
Algeria,DZA,2012,,,37260568.0,
Angola,AGO,2009,36.0,,22507674.0,
Angola,AGO,2012,,,25188298.0,
Asia,,2009,,,4171339685.0,
Asia,,2012,,,4317165429.0,
Benin,BEN,2009,51.3,,9172514.0,
Benin,BEN,2012,,,10014087.0,
Bhutan,BTN,2009,33.3,,697682.0,
Bhutan,BTN,2012,,1.7303301,721154.0,
Botswana,BWA,2009,24.7,17.686708,2048997.0,
Botswana,BWA,2012,,,2175429.0,
Brazil,BRA,2009,16.0,6.120392,194517552.0,
Brazil,BRA,2012,,4.493511,199977712.0,
Chile,CHL,2009,8.3,1.7247627,16833450.0,
Chile,CHL,2012,,,17341770.0,
China,CHN,2009,11.3,,1339125632.0,
China,CHN,2012,,8.49286,1366560768.0,
Colombia,COL,2009,11.7,9.602201,44313916.0,
Colombia,COL,2012,,6.7151165,45782420.0,
Congo,COG,2009,29.3,,4257234.0,
Congo,COG,2012,,,4713260.0,
Cote d'Ivoire,CIV,2009,44.0,,20677762.0,
Cote d'Ivoire,CIV,2012,,,22010708.0,
Democratic Republic of Congo,COD,2009,47.7,,64270236.0,
Democratic Republic of Congo,COD,2012,,69.86378,70997872.0,
East Timor,TLS,2009,39.0,,1065543.0,
East Timor,TLS,2012,,,1137683.0,
Egypt,EGY,2009,22.0,,85501064.0,
Egypt,EGY,2012,,0.8900781,91240384.0,
El Salvador,SLV,2009,14.3,7.41996,6091181.0,
El Salvador,SLV,2012,,4.6371474,6161293.0,
Ethiopia,ETH,2009,41.3,,86755584.0,
Ethiopia,ETH,2012,,,94451280.0,
Europe,,2009,,,736013515.0,
Europe,,2012,,,740063831.0,
Gambia,GMB,2009,43.7,,1878124.0,
Gambia,GMB,2012,,,2061020.0,
Ghana,GHA,2009,47.7,,24950768.0,
Ghana,GHA,2012,,25.689972,26858760.0,
Guinea,GIN,2009,41.3,,10021319.0,
Guinea,GIN,2012,,24.544147,10788696.0,
Guinea-Bissau,GNB,2009,40.0,,1527207.0,
Guinea-Bissau,GNB,2012,,,1652720.0,
Haiti,HTI,2009,30.7,,9730646.0,
Haiti,HTI,2012,,29.192194,10108541.0,
Honduras,HND,2009,20.3,12.32208,8277309.0,
Honduras,HND,2012,,16.992704,8792370.0,
India,IND,2009,48.3,32.867126,1223640192.0,
India,IND,2012,,,1274487168.0,
Indonesia,IDN,2009,27.3,20.957842,240981296.0,
Indonesia,IDN,2012,,13.735316,250222688.0,
Iran,IRN,2009,25.0,1.4918264,74322688.0,
Iran,IRN,2012,,,77324448.0,
Laos,LAO,2009,38.7,,6229933.0,
Laos,LAO,2012,,10.891045,6508806.0,
Liberia,LBR,2009,45.3,,3905066.0,
Liberia,LBR,2012,,,4331749.0,
Madagascar,MDG,2009,43.0,,21117092.0,
Madagascar,MDG,2012,,80.73006,22966242.0,
Malaysia,MYS,2009,11.7,,28217208.0,
Malaysia,MYS,2012,,,29660216.0,
Maldives,MDV,2009,30.0,3.772896,349040.0,
Maldives,MDV,2012,,,387552.0,
Mali,MLI,2009,46.0,48.172142,15032645.0,
Mali,MLI,2012,,,16514689.0,
Mozambique,MOZ,2009,51.0,,22436660.0,
Mozambique,MOZ,2012,,,24487614.0,
Namibia,NAM,2009,22.3,26.944029,2067928.0,
Namibia,NAM,2012,,,2167474.0,
Nepal,NPL,2009,35.3,,27026952.0,
Nepal,NPL,2012,,,27330696.0,
Nigeria,NGA,2009,36.0,,156595744.0,
Nigeria,NGA,2012,,33.82892,170075936.0,
North America,,2009,,,537567761.0,
North America,,2012,,,554435782.0,
Oceania,,2009,,,36448615.0,
Oceania,,2012,,,38383766.0,
Pakistan,PAK,2009,26.7,,190123232.0,
Pakistan,PAK,2012,,,202205856.0,
Papua New Guinea,PNG,2009,28.3,39.68331,7358887.0,
Papua New Guinea,PNG,2012,,,8026548.0,
Peru,PER,2009,21.7,8.811538,29009326.0,
Peru,PER,2012,,6.078547,29749592.0,
Philippines,PHL,2009,30.7,11.126217,92946952.0,
Philippines,PHL,2012,,12.485543,98032320.0,
Russia,RUS,2009,14.3,0.066181496,143163648.0,
Russia,RUS,2012,,0.0322114,143629360.0,
Rwanda,RWA,2009,28.7,,10043736.0,
Rwanda,RWA,2012,,,10840331.0,
Senegal,SEN,2009,32.7,,12195028.0,
Senegal,SEN,2012,,,13231840.0,
Sierra Leone,SLE,2009,50.0,,6259845.0,
Sierra Leone,SLE,2012,,,6788594.0,
South Africa,ZAF,2009,18.3,,51170780.0,
South Africa,ZAF,2012,,,53145036.0,
South America,,2009,,,389045327.0,
South America,,2012,,,401166879.0,
Sudan,SDN,2009,36.0,18.576168,32948156.0,
Sudan,SDN,2012,,,35159792.0,
Tanzania,TZA,2009,35.0,,43957940.0,
Tanzania,TZA,2012,,,47786136.0,
Uganda,UGA,2009,34.3,46.715183,31412526.0,
Uganda,UGA,2012,,37.544044,34273296.0,
Ukraine,UKR,2009,20.0,0.06931827,45863884.0,
Ukraine,UKR,2012,,0.11384704,45406228.0,
Vietnam,VNM,2009,24.0,,86482920.0,
Vietnam,VNM,2012,,1.6601624,89301328.0,
Zambia,ZMB,2009,42.0,,13318094.0,
Zambia,ZMB,2012,,,14744662.0,
Zimbabwe,ZWE,2009,33.7,,12679812.0,
Zimbabwe,ZWE,2012,,,13265331.0,
