Entity,Code,Year,"1.a.1 - Official development assistance grants for poverty reduction, by donor countries (percentage of GNI) - DC_ODA_POVDLG"
Czechia,CZE,2015,0.0
Czechia,CZE,2021,0.01
Ireland,IRL,2000,0.03
Ireland,IRL,2005,0.06
Ireland,IRL,2010,0.05
Ireland,IRL,2015,0.03
Ireland,IRL,2021,0.03
Luxembourg,LUX,2005,0.11
Luxembourg,LUX,2010,0.17
Luxembourg,LUX,2015,0.11
Luxembourg,LUX,2021,0.09
Norway,NOR,2000,0.03
Norway,NOR,2005,0.07
Norway,NOR,2010,0.07
Norway,NOR,2015,0.08
Norway,NOR,2021,0.14
United Arab Emirates,ARE,2010,0.01
United Arab Emirates,ARE,2015,0.03
United Arab Emirates,ARE,2021,0.09
