Entity,Code,Year,Observation value - Unit_of_measure: Number of deaths - Indicator: Infant deaths - Sex: Both sexes - Wealth_quintile: All wealth quintiles
Chad,TCD,1980,26033
Chad,TCD,1990,33017
Chad,TCD,2000,41085
Chad,TCD,2010,47526
Chad,TCD,2021,48167
Indonesia,IDN,1952,545700
Indonesia,IDN,1960,563720
Indonesia,IDN,1970,508757
Indonesia,IDN,1980,416877
Indonesia,IDN,1990,285761
Indonesia,IDN,2000,190725
Indonesia,IDN,2010,136679
Indonesia,IDN,2021,84901
Kyrgyzstan,KGZ,1980,8906
Kyrgyzstan,KGZ,1990,7350
Kyrgyzstan,KGZ,2000,4571
Kyrgyzstan,KGZ,2010,3875
Kyrgyzstan,KGZ,2021,2467
Nauru,NRU,1990,15
Nauru,NRU,2000,10
Nauru,NRU,2010,11
Nauru,NRU,2021,8
