Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged age-standardized",Continent,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged age-standardized.1",Year.1
Afghanistan,AFG,1990,370.05048,,179.45535,2019.0
Afghanistan,AFG,2019,179.45535,,179.45535,2019.0
African Region (WHO),,1990,201.93549,,103.338715,2019.0
African Region (WHO),,2019,103.338715,,103.338715,2019.0
Albania,ALB,1990,97.25254,,17.543667,2019.0
Albania,ALB,2019,17.543667,,17.543667,2019.0
Algeria,DZA,1990,28.32325,,0.23338939,2019.0
Algeria,DZA,2019,0.23338939,,0.23338939,2019.0
American Samoa,ASM,1990,49.46356,,13.066006,2019.0
American Samoa,ASM,2019,13.066006,,13.066006,2019.0
Andorra,AND,1990,0.13544938,,0.015843427,2019.0
Andorra,AND,2019,0.015843427,,0.015843427,2019.0
Angola,AGO,1990,260.3437,,68.38518,2019.0
Angola,AGO,2019,68.38518,,68.38518,2019.0
Azerbaijan,AZE,1990,75.86462,,9.386765,2019.0
Azerbaijan,AZE,2019,9.386765,,9.386765,2019.0
Benin,BEN,1990,247.42221,,143.48445,2019.0
Benin,BEN,2019,143.48445,,143.48445,2019.0
Bhutan,BTN,1990,225.90262,,70.04097,2019.0
Bhutan,BTN,2019,70.04097,,70.04097,2019.0
Botswana,BWA,1990,165.05986,,50.056385,2019.0
Botswana,BWA,2019,50.056385,,50.056385,2019.0
Burkina Faso,BFA,1990,240.6462,,175.1003,2019.0
Burkina Faso,BFA,2019,175.1003,,175.1003,2019.0
Burundi,BDI,1990,299.65033,,186.15117,2019.0
Burundi,BDI,2019,186.15117,,186.15117,2019.0
Cambodia,KHM,1990,285.98206,,133.12271,2019.0
Cambodia,KHM,2019,133.12271,,133.12271,2019.0
Cameroon,CMR,1990,163.00282,,84.9465,2019.0
Cameroon,CMR,2019,84.9465,,84.9465,2019.0
Central African Republic,CAF,1990,326.19467,,251.24039,2019.0
Central African Republic,CAF,2019,251.24039,,251.24039,2019.0
Chad,TCD,1990,263.07404,,195.55023,2019.0
Chad,TCD,2019,195.55023,,195.55023,2019.0
China,CHN,1990,195.56053,,20.729332,2019.0
China,CHN,2019,20.729332,,20.729332,2019.0
Comoros,COM,1990,227.1375,,113.36182,2019.0
Comoros,COM,2019,113.36182,,113.36182,2019.0
Djibouti,DJI,1990,142.94797,,32.754246,2019.0
Djibouti,DJI,2019,32.754246,,32.754246,2019.0
Equatorial Guinea,GNQ,1990,285.51987,,16.91805,2019.0
Equatorial Guinea,GNQ,2019,16.91805,,16.91805,2019.0
Eswatini,SWZ,1990,179.74657,,85.76491,2019.0
Eswatini,SWZ,2019,85.76491,,85.76491,2019.0
Ethiopia,ETH,1990,326.51196,,129.95076,2019.0
Ethiopia,ETH,2019,129.95076,,129.95076,2019.0
Gabon,GAB,1990,136.37,,7.2117834,2019.0
Gabon,GAB,2019,7.2117834,,7.2117834,2019.0
Guinea-Bissau,GNB,1990,317.6573,,198.90402,2019.0
Guinea-Bissau,GNB,2019,198.90402,,198.90402,2019.0
Honduras,HND,1990,104.74625,,69.95348,2019.0
Honduras,HND,2019,69.95348,,69.95348,2019.0
Indonesia,IDN,1990,125.715576,,40.952076,2019.0
Indonesia,IDN,2019,40.952076,,40.952076,2019.0
Iraq,IRQ,1990,49.604786,,0.30527654,2019.0
Iraq,IRQ,2019,0.30527654,,0.30527654,2019.0
Laos,LAO,1990,325.80045,,155.40918,2019.0
Laos,LAO,2019,155.40918,,155.40918,2019.0
Lesotho,LSO,1990,180.2665,,133.44032,2019.0
Lesotho,LSO,2019,133.44032,,133.44032,2019.0
Maldives,MDV,1990,168.03535,,8.409028,2019.0
Maldives,MDV,2019,8.409028,,8.409028,2019.0
Mauritania,MRT,1990,182.5312,,53.985767,2019.0
Mauritania,MRT,2019,53.985767,,53.985767,2019.0
Nepal,NPL,1990,296.56815,,113.24512,2019.0
Nepal,NPL,2019,113.24512,,113.24512,2019.0
Nigeria,NGA,1990,205.40732,,83.22526,2019.0
Nigeria,NGA,2019,83.22526,,83.22526,2019.0
Papua New Guinea,PNG,1990,281.94595,,229.51721,2019.0
Papua New Guinea,PNG,2019,229.51721,,229.51721,2019.0
Solomon Islands,SLB,1990,510.81638,,397.25952,2019.0
Solomon Islands,SLB,2019,397.25952,,397.25952,2019.0
Somalia,SOM,1990,346.73407,,272.01663,2019.0
Somalia,SOM,2019,272.01663,,272.01663,2019.0
Tonga,TON,1990,102.98428,,39.133133,2019.0
Tonga,TON,2019,39.133133,,39.133133,2019.0
Zimbabwe,ZWE,1990,144.21695,,130.5083,2019.0
Zimbabwe,ZWE,2019,130.5083,,130.5083,2019.0
