Entity,Code,Year,"10.7.4 - Number of refugees per 100,000 population, by country of origin (per 100,000 population) - SM_POP_REFG_OR"
Central and Southern Asia (UN),,2000,258.79
Central and Southern Asia (UN),,2005,154.56
Central and Southern Asia (UN),,2010,188.85
Central and Southern Asia (UN),,2015,166.34
Central and Southern Asia (UN),,2020,148.77
Central and Southern Asia (UN),,2022,159.06
Eastern and South-Eastern Asia (UN),,2000,42.9
Eastern and South-Eastern Asia (UN),,2005,35.42
Eastern and South-Eastern Asia (UN),,2010,45.66
Eastern and South-Eastern Asia (UN),,2015,45.33
Eastern and South-Eastern Asia (UN),,2020,70.31
Eastern and South-Eastern Asia (UN),,2022,61.33
Europe (UN),,2000,148.16
Europe (UN),,2005,95.62
Europe (UN),,2010,67.77
Europe (UN),,2015,68.24
Europe (UN),,2020,25.56
Europe (UN),,2022,750.35
Latin America and the Caribbean (UN),,2000,15.84
Latin America and the Caribbean (UN),,2005,20.95
Latin America and the Caribbean (UN),,2010,79.21
Latin America and the Caribbean (UN),,2015,71.51
Latin America and the Caribbean (UN),,2020,668.35
Latin America and the Caribbean (UN),,2022,885.3
Northern Africa (UN),,2000,386.26
Northern Africa (UN),,2005,424.01
Northern Africa (UN),,2010,250.02
Northern Africa (UN),,2015,334.53
Northern Africa (UN),,2020,376.9
Northern Africa (UN),,2022,391.77
Northern America (UN),,2000,0.06
Northern America (UN),,2005,0.24
Northern America (UN),,2010,0.9
Northern America (UN),,2015,1.35
Northern America (UN),,2020,0.11
Northern America (UN),,2022,0.3
Oceania (UN),,2000,1.45
Oceania (UN),,2005,4.41
Oceania (UN),,2010,5.61
Oceania (UN),,2015,3.38
Oceania (UN),,2020,2.67
Oceania (UN),,2022,2.39
Sub-Saharan Africa (UN),,2000,497.78
Sub-Saharan Africa (UN),,2005,319.74
Sub-Saharan Africa (UN),,2010,281.09
Sub-Saharan Africa (UN),,2015,465.22
Sub-Saharan Africa (UN),,2020,586.95
Sub-Saharan Africa (UN),,2022,600.8
World,OWID_WRL,2000,177.45
World,OWID_WRL,2005,128.06
World,OWID_WRL,2010,147.24
World,OWID_WRL,2015,213.1
World,OWID_WRL,2020,307.37
World,OWID_WRL,2022,397.83
