Entity,Code,Year,"Terrorism deaths per 100,000 people"
Denmark,DNK,1978,0.0
Denmark,DNK,1990,0.0
Denmark,DNK,2000,0.0
Denmark,DNK,2010,0.0
Denmark,DNK,2021,0.0
France,FRA,1978,0.039492015
France,FRA,1990,0.005317933
France,FRA,2000,0.0068183225
France,FRA,2010,0.0
France,FRA,2021,0.004648896
French Guiana,GUF,1978,0.0
French Guiana,GUF,1990,0.0
French Guiana,GUF,2000,0.0
French Guiana,GUF,2010,0.0
French Guiana,GUF,2021,0.0
Grenada,GRD,1978,0.0
Grenada,GRD,1990,0.0
Grenada,GRD,2000,0.0
Grenada,GRD,2010,0.0
Grenada,GRD,2021,0.0
