Entity,Code,Year,Urban population (% of total population)
Chad,TCD,1960,6.695
Chad,TCD,1970,11.568
Chad,TCD,1980,18.787
Chad,TCD,1990,20.811
Chad,TCD,2000,21.637
Chad,TCD,2010,21.985
Chad,TCD,2021,23.781
Eswatini,SWZ,1960,3.913
Eswatini,SWZ,1970,9.705
Eswatini,SWZ,1980,16.478
Eswatini,SWZ,1990,20.202
Eswatini,SWZ,2000,22.686
Eswatini,SWZ,2010,22.48
Eswatini,SWZ,2021,24.369
Italy,ITA,1960,59.361
Italy,ITA,1970,64.272
Italy,ITA,1980,66.64
Italy,ITA,1990,66.726
Italy,ITA,2000,67.222
Italy,ITA,2010,68.327
Italy,ITA,2021,71.346
Malaysia,MYS,1960,26.598
Malaysia,MYS,1970,33.454
Malaysia,MYS,1980,42.044
Malaysia,MYS,1990,49.794
Malaysia,MYS,2000,61.977
Malaysia,MYS,2010,70.912
Malaysia,MYS,2021,77.696
Solomon Islands,SLB,1960,5.768
Solomon Islands,SLB,1970,8.917
Solomon Islands,SLB,1980,10.576
Solomon Islands,SLB,1990,13.677
Solomon Islands,SLB,2000,15.813
Solomon Islands,SLB,2010,20.048
Solomon Islands,SLB,2021,25.128
Sweden,SWE,1960,72.49
Sweden,SWE,1970,81.034
Sweden,SWE,1980,83.087
Sweden,SWE,1990,83.1
Sweden,SWE,2000,84.026
Sweden,SWE,2010,85.056
Sweden,SWE,2021,88.238
Turkmenistan,TKM,1960,46.412
Turkmenistan,TKM,1970,47.78
Turkmenistan,TKM,1980,47.078
Turkmenistan,TKM,1990,45.075
Turkmenistan,TKM,2000,45.913
Turkmenistan,TKM,2010,48.491
Turkmenistan,TKM,2021,52.998
