Entity,Code,Year,Annual CO₂ emissions from gas
Canada,CAN,1800,0.0
Canada,CAN,1850,0.0
Canada,CAN,1900,0.0
Canada,CAN,1950,3554164.0
Canada,CAN,2000,173423040.0
Canada,CAN,2022,240394370.0
European Union (27),,1800,0.0
European Union (27),,1850,0.0
European Union (27),,1900,0.0
European Union (27),,1950,10121647.0
European Union (27),,2000,720222460.0
European Union (27),,2022,686313400.0
Germany,DEU,1800,0.0
Germany,DEU,1850,0.0
Germany,DEU,1900,0.0
Germany,DEU,1950,43968.0
Germany,DEU,2000,166420500.0
Germany,DEU,2022,151885310.0
India,IND,1900,0.0
India,IND,1950,0.0
India,IND,2000,43872736.0
India,IND,2022,124008700.0
Indonesia,IDN,1900,0.0
Indonesia,IDN,1950,1191244.0
Indonesia,IDN,2000,48591970.0
Indonesia,IDN,2022,80013020.0
Russia,RUS,1850,0.0
Russia,RUS,1900,0.0
Russia,RUS,1950,7931120.0
Russia,RUS,2000,681630500.0
Russia,RUS,2022,811360700.0
South Africa,ZAF,1900,0.0
South Africa,ZAF,1950,0.0
South Africa,ZAF,2000,3198672.0
South Africa,ZAF,2022,11021312.0
United Kingdom,GBR,1750,0.0
United Kingdom,GBR,1800,0.0
United Kingdom,GBR,1850,0.0
United Kingdom,GBR,1900,0.0
United Kingdom,GBR,1950,0.0
United Kingdom,GBR,2000,210131000.0
United Kingdom,GBR,2022,136708640.0
United States,USA,1800,0.0
United States,USA,1850,0.0
United States,USA,1900,11541600.0
United States,USA,1950,319218660.0
United States,USA,2000,1251263500.0
United States,USA,2022,1743539200.0
