Entity,Code,Year,net_traded_deforestation
Kyrgyzstan,KGZ,2005,64.98106716055105
Kyrgyzstan,KGZ,2006,109.17904858770356
Kyrgyzstan,KGZ,2007,112.52766786436528
Kyrgyzstan,KGZ,2008,121.77614952689478
Kyrgyzstan,KGZ,2009,88.05771791823477
Kyrgyzstan,KGZ,2010,121.56298727879884
Kyrgyzstan,KGZ,2011,132.07105498221364
Kyrgyzstan,KGZ,2012,127.2184418001923
Kyrgyzstan,KGZ,2013,150.49723139701496
New Zealand,NZL,2005,1522.231727728143
New Zealand,NZL,2006,1391.0570684518043
New Zealand,NZL,2007,2527.442264686093
New Zealand,NZL,2008,4917.407068188195
New Zealand,NZL,2009,3080.6332475520944
New Zealand,NZL,2010,5068.468942200367
New Zealand,NZL,2011,3361.04898203925
New Zealand,NZL,2012,3659.037238804613
New Zealand,NZL,2013,3791.294155088425
Panama,PAN,2005,-836.9710974586783
Panama,PAN,2006,-1066.030630291898
Panama,PAN,2007,-1151.2421782522952
Panama,PAN,2008,-618.6978647383248
Panama,PAN,2009,-262.73315835553876
Panama,PAN,2010,-559.6348420160621
Panama,PAN,2011,-192.51635193226684
Panama,PAN,2012,599.4845123630566
Panama,PAN,2013,318.04654994321754
Tajikistan,TJK,2005,124.23564378870556
Tajikistan,TJK,2006,78.7997598427767
Tajikistan,TJK,2007,111.83489989558362
Tajikistan,TJK,2008,132.6428592425205
Tajikistan,TJK,2009,92.51576870417466
Tajikistan,TJK,2010,110.45092562937812
Tajikistan,TJK,2011,103.00424710244216
Tajikistan,TJK,2012,104.33288132203889
Tajikistan,TJK,2013,102.27871508947536
Vietnam,VNM,2005,-6602.570897540099
Vietnam,VNM,2006,-3017.6901667026686
Vietnam,VNM,2007,-3357.070327550682
Vietnam,VNM,2008,2049.0230268973537
Vietnam,VNM,2009,4424.768606873258
Vietnam,VNM,2010,-27944.630439758068
Vietnam,VNM,2011,-26524.713134528633
Vietnam,VNM,2012,-20864.409307375376
Vietnam,VNM,2013,-17090.304902430624
