Entity,Code,Year,military_expenditure_share_gdp
Bosnia and Herzegovina,BIH,2010,1.28
Bosnia and Herzegovina,BIH,2020,0.88
Denmark,DNK,1950,1.66
Denmark,DNK,1960,2.73
Denmark,DNK,1970,2.43
Denmark,DNK,1980,2.36
Denmark,DNK,1990,1.95
Denmark,DNK,2000,1.46
Denmark,DNK,2010,1.4
Denmark,DNK,2020,1.44
Oman,OMN,1980,14.91
Oman,OMN,1990,12.39
Oman,OMN,2000,8.09
Oman,OMN,2010,6.44
Oman,OMN,2020,10.87
Slovenia,SVN,2000,1.09
Slovenia,SVN,2010,1.6
Slovenia,SVN,2020,1.1
Sri Lanka,LKA,1960,1.18
Sri Lanka,LKA,1970,0.92
Sri Lanka,LKA,1980,0.77
Sri Lanka,LKA,1990,2.33
Sri Lanka,LKA,2000,5.03
Sri Lanka,LKA,2010,2.7
Sri Lanka,LKA,2020,1.93
