Entity,Code,Year,Reported Smallpox cases (WHO)
"French West Africa (Benin, Burkina Faso, Cote d'Ivoire, Guinea, Mali, Mauritania, Niger, Senegal)",,1930,4084
"French West Africa (Benin, Burkina Faso, Cote d'Ivoire, Guinea, Mali, Mauritania, Niger, Senegal)",,1940,1620
"French West Africa (Benin, Burkina Faso, Cote d'Ivoire, Guinea, Mali, Mauritania, Niger, Senegal)",,1950,3542
"French West Africa (Benin, Burkina Faso, Cote d'Ivoire, Guinea, Mali, Mauritania, Niger, Senegal)",,1960,6107
India,IND,1930,232331
India,IND,1940,188192
India,IND,1950,157487
India,IND,1960,31091
India,IND,1970,12341
India,IND,1977,0
USSR,OWID_USS,1920,126423
USSR,OWID_USS,1930,3834
USSR,OWID_USS,1940,0
USSR,OWID_USS,1950,12
United States,USA,1900,21064
United States,USA,1910,31254
United States,USA,1920,110672
United States,USA,1930,48329
United States,USA,1940,2795
United States,USA,1950,0
Yugoslavia,OWID_YGS,1920,4156
Yugoslavia,OWID_YGS,1930,1
Yugoslavia,OWID_YGS,1940,1
Yugoslavia,OWID_YGS,1950,0
