Entity,Code,Year,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates"
Latin America & Caribbean (World Bank),,1990,6.0
Latin America & Caribbean (World Bank),,1995,6.4
Latin America & Caribbean (World Bank),,2000,6.8
Latin America & Caribbean (World Bank),,2005,7.1
Latin America & Caribbean (World Bank),,2010,7.3
Latin America & Caribbean (World Bank),,2015,7.7
Latin America & Caribbean (World Bank),,2020,8.3
Latin America & Caribbean (World Bank),,2022,8.6
Latin America and the Caribbean (UN),,2000,6.8
Latin America and the Caribbean (UN),,2005,7.1
Latin America and the Caribbean (UN),,2010,7.3
Latin America and the Caribbean (UN),,2015,7.7
Latin America and the Caribbean (UN),,2020,8.3
Latin America and the Caribbean (UN),,2022,8.6
Mauritania,MRT,2000,3.5
Mauritania,MRT,2005,3.7
Mauritania,MRT,2010,2.0
Mauritania,MRT,2015,1.9
Mauritania,MRT,2020,1.9
Mauritania,MRT,2022,2.0
North America (UNICEF),,1990,6.6
North America (UNICEF),,1995,6.8
North America (UNICEF),,2000,7.5
North America (UNICEF),,2005,8.1
North America (UNICEF),,2010,8.6
North America (UNICEF),,2015,8.6
North America (UNICEF),,2020,8.4
North America (UNICEF),,2022,8.2
Panama,PAN,2000,8.6
Panama,PAN,2005,9.6
Panama,PAN,2010,10.2
Panama,PAN,2015,10.9
Panama,PAN,2020,11.4
Panama,PAN,2022,11.4
Papua New Guinea,PNG,2000,4.5
Papua New Guinea,PNG,2005,6.4
Papua New Guinea,PNG,2010,9.2
Papua New Guinea,PNG,2015,12.7
Papua New Guinea,PNG,2020,15.5
Papua New Guinea,PNG,2022,16.0
Paraguay,PRY,2000,6.8
Paraguay,PRY,2005,7.9
Paraguay,PRY,2010,9.6
Paraguay,PRY,2015,11.7
Paraguay,PRY,2020,13.8
Paraguay,PRY,2022,14.6
