Entity,Code,Year,Yearly burned area across all land types
Africa,,2002,280971000.0
Africa,,2005,328037860.0
Africa,,2010,286662100.0
Africa,,2015,256511710.0
Africa,,2022,240738100.0
Asia,,2002,38718716.0
Asia,,2005,33217378.0
Asia,,2010,36192696.0
Asia,,2015,33350724.0
Asia,,2022,16312020.0
Europe,,2002,18790984.0
Europe,,2005,16842120.0
Europe,,2010,13001210.0
Europe,,2015,12716144.0
Europe,,2022,9389621.0
North America,,2002,7261796.0
North America,,2005,10412298.0
North America,,2010,6940902.5
North America,,2015,8906425.0
North America,,2022,6498362.0
Oceania,,2002,76715190.0
Oceania,,2005,27489446.0
Oceania,,2010,18398202.0
Oceania,,2015,41933380.0
Oceania,,2022,27667528.0
South America,,2002,40201276.0
South America,,2005,40498410.0
South America,,2010,54807770.0
South America,,2015,30397106.0
South America,,2022,30009518.0
