Entity,Code,Year,Palm fruit oil | 00000254 || Area harvested | 005312 || hectares
Indonesia,IDN,1961,70000
Indonesia,IDN,1970,100000
Indonesia,IDN,1980,204000
Indonesia,IDN,1990,673033
Indonesia,IDN,2000,2014000
Indonesia,IDN,2010,8385394
Indonesia,IDN,2021,15001273
Malaysia,MYS,1961,43302
Malaysia,MYS,1970,149900
Malaysia,MYS,1980,777388
Malaysia,MYS,1990,1746054
Malaysia,MYS,2000,3376664
Malaysia,MYS,2010,4853766
Malaysia,MYS,2021,5144180
Thailand,THA,1961,950
Thailand,THA,1970,950
Thailand,THA,1980,11136
Thailand,THA,1990,96000
Thailand,THA,2000,230053
Thailand,THA,2010,541569
Thailand,THA,2021,893846
World,OWID_WRL,1961,3621037
World,OWID_WRL,1970,3263027
World,OWID_WRL,1980,4276828
World,OWID_WRL,1990,6115211
World,OWID_WRL,2000,10395173
World,OWID_WRL,2010,19502240
World,OWID_WRL,2021,28909788
