Entity,Code,Year,"GDP, PPP (constant 2017 international $)",Annual CO₂ emissions,Annual consumption-based CO₂ emissions
Africa (GCP),,1990,,658274100.0,582724000.0
Africa (GCP),,1995,,844545600.0,751732800.0
Africa (GCP),,2000,,930031600.0,732651400.0
Africa (GCP),,2005,,1063169100.0,881782100.0
Africa (GCP),,2010,,1215362700.0,1096000800.0
Africa (GCP),,2015,,1319776300.0,1333181600.0
Africa (GCP),,2022,,1416608800.0,
Belize,BLZ,1990,1167930600.0,311440.0,
Belize,BLZ,1995,1562336600.0,377392.0,
Belize,BLZ,2000,2092032900.0,395712.0,
Belize,BLZ,2005,2700457500.0,421360.0,
Belize,BLZ,2010,2895367400.0,538608.0,
Belize,BLZ,2015,3378438100.0,641200.0,
Belize,BLZ,2022,,725231.0,
Middle East (GCP),,1990,,844408500.0,889542600.0
Middle East (GCP),,1995,,1127157100.0,1143630000.0
Middle East (GCP),,2000,,1391716000.0,1121857400.0
Middle East (GCP),,2005,,1700282500.0,1593688300.0
Middle East (GCP),,2010,,2135012600.0,2113206700.0
Middle East (GCP),,2015,,2507637200.0,2532035800.0
Middle East (GCP),,2022,,2677581300.0,
North America (WB),,1990,11000011000000.0,,
North America (WB),,1995,12485046000000.0,,
North America (WB),,2000,15431357000000.0,,
North America (WB),,2005,17504311000000.0,,
North America (WB),,2010,18394812000000.0,,
North America (WB),,2015,20441752000000.0,,
South Korea,KOR,1990,542570600000.0,250510830.0,320594300.0
South Korea,KOR,1995,817107240000.0,383665470.0,451628930.0
South Korea,KOR,2000,1079477300000.0,439980670.0,485222080.0
South Korea,KOR,2005,1380039900000.0,498688300.0,581335040.0
South Korea,KOR,2010,1704388500000.0,594339140.0,650526000.0
South Korea,KOR,2015,1980846200000.0,634177300.0,667643650.0
South Korea,KOR,2022,,600999360.0,
