Entity,Code,Year,"Current number of cases of drug use disorders per 100 people, in males aged age-standardized","Current number of cases of drug use disorders per 100 people, in females aged age-standardized",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,0.31011575,0.40643787,165516224.0,
Brazil,BRA,2019,1.351372,0.77975875,211782880.0,
Canada,CAN,2019,2.9792867,1.9398983,37522584.0,
China,CHN,2019,0.7148747,0.5637868,1421864064.0,
Croatia,HRV,2019,0.9959814,0.5792493,4129749.0,
Estonia,EST,2019,2.2752182,0.813407,1327039.0,
Europe,,2019,,,747418251.0,
Ghana,GHA,2019,0.72989744,0.32481316,31522294.0,
Greenland,GRL,2019,1.8672214,1.3691938,55955.0,
High Income (WB),,2019,2.0092156,1.4705147,,
Indonesia,IDN,2019,0.50121725,0.42190945,269582880.0,
Iran,IRN,2019,1.066075,0.38233715,86564208.0,
Ireland,IRL,2019,1.5785081,0.87740904,4896021.0,
Italy,ITA,2019,1.1461871,0.7258195,59727936.0,
Nigeria,NGA,2019,0.42376325,0.18689151,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Paraguay,PRY,2019,0.5946309,0.7933555,6530029.0,
Russia,RUS,2019,1.5771333,0.6781028,145742288.0,
Scotland,,2019,3.06963,1.7630751,,
South America,,2019,,,428318218.0,
Spain,ESP,2019,2.0218914,1.1911432,47131372.0,
Switzerland,CHE,2019,1.6716715,1.0459814,8575593.0,
Thailand,THA,2019,1.1240993,0.5023179,71307768.0,
Tonga,TON,2019,0.815922,0.74926805,104965.0,
United Kingdom,GBR,2019,2.582438,1.3963451,66778660.0,
United States,USA,2019,3.8173172,3.0128908,334319680.0,
Wales,,2019,2.26035,1.2294521,,
