Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Annual CO₂ emissions (per capita),Continent
Afghanistan,AFG,2021,5.565748,0.30631703,
Africa,,2021,,1.0311713,
Albania,ALB,2021,0.9455919,1.7177409,
Algeria,DZA,2021,2.2335286,4.079527,
Andorra,AND,2021,0.27563623,4.5922055,
Angola,AGO,2021,6.9421334,0.50735646,
Anguilla,AIA,2021,0.40450937,8.726662,
Antigua and Barbuda,ATG,2021,0.61445624,6.400294,
Armenia,ARM,2021,1.0721141,2.53107,
Asia,,2021,,4.567902,
Australia,AUS,2021,0.37119225,14.914762,
Azerbaijan,AZE,2021,1.85862,3.7170222,
Bahamas,BHS,2021,1.3159127,5.149713,
Bahrain,BHR,2021,0.6915642,26.052996,
Bangladesh,BGD,2021,2.727363,0.5831512,
Belize,BLZ,2021,1.1186618,1.7549852,
Benin,BEN,2021,8.352425,0.6395752,
Bhutan,BTN,2021,2.6687412,1.3661479,
Botswana,BWA,2021,3.4869418,2.3707244,
Brazil,BRA,2021,1.4410983,2.3198576,
British Virgin Islands,VGB,2021,1.0462896,4.9880238,
Brunei,BRN,2021,1.1475964,25.375603,
Burkina Faso,BFA,2021,8.260758,0.2659974,
Burundi,BDI,2021,5.260476,0.06373885,
Canada,CAN,2021,0.5041324,14.078721,
Cape Verde,CPV,2021,1.3548837,0.9505422,
Central African Republic,CAF,2021,9.991608,0.04567115,
Chad,TCD,2021,10.706548,0.14357351,
Chile,CHL,2021,0.6553434,4.5675793,
Congo,COG,2021,4.2967863,1.2433366,
Costa Rica,CRI,2021,0.76475084,1.4853407,
Croatia,HRV,2021,0.4640069,4.288185,
Cuba,CUB,2021,0.5001638,1.8603169,
Czechia,CZE,2021,0.27514142,9.196797,
Democratic Republic of Congo,COD,2021,7.8960543,0.041094083,
Denmark,DNK,2021,0.3584227,5.057577,
Egypt,EGY,2021,1.8957832,2.2595594,
Equatorial Guinea,GNQ,2021,7.6775002,3.444009,
Eritrea,ERI,2021,3.8091557,0.1934708,
Estonia,EST,2021,0.19995837,7.8421664,
Eswatini,SWZ,2021,5.2632627,0.9489723,
Ethiopia,ETH,2021,4.6811466,0.15729143,
Europe,,2021,0.4408454,7.1178274,
Gambia,GMB,2021,4.7885857,0.2867638,
Ghana,GHA,2021,4.3974524,0.63856685,
Guatemala,GTM,2021,2.3019254,1.117814,
Guinea,GIN,2021,9.872694,0.35968435,
Guyana,GUY,2021,2.767837,4.4295645,
Haiti,HTI,2021,5.8632684,0.2118702,
Honduras,HND,2021,1.6555912,1.0541441,
Indonesia,IDN,2021,2.2173412,2.2499223,
Japan,JPN,2021,0.23023768,8.523455,
Kazakhstan,KAZ,2021,1.0274289,13.29114,
Kenya,KEN,2021,3.7152622,0.46141472,
Kuwait,KWT,2021,0.8733754,24.301199,
Laos,LAO,2021,4.2509923,3.1470437,
Lebanon,LBN,2021,0.823884,4.1969266,
Lesotho,LSO,2021,7.2925363,1.0872496,
Liberia,LBR,2021,7.604017,0.16660595,
Malawi,MWI,2021,4.1899285,0.104497075,
Malaysia,MYS,2021,0.75561273,8.3059,
Malta,MLT,2021,0.58320063,3.050259,
Mongolia,MNG,2021,1.4734358,11.4274645,
Montenegro,MNE,2021,0.22629364,3.670829,
New Zealand,NZL,2021,0.47305393,6.6900215,
Nigeria,NGA,2021,11.081927,0.6143976,
North America,,2021,0.61332315,10.459453,
Oceania,,2021,2.0269809,9.883469,
Peru,PER,2021,1.4122609,1.6749027,
Qatar,QAT,2021,0.53061014,39.884155,
Solomon Islands,SLB,2021,1.8785264,0.42669472,
South Africa,ZAF,2021,3.2847328,7.1663837,
South America,,2021,,2.50236,
Sri Lanka,LKA,2021,0.6748074,0.92399746,
Tajikistan,TJK,2021,3.1419,1.0236204,
Turkmenistan,TKM,2021,4.1427803,11.033806,
Vanuatu,VUT,2021,2.3214133,0.6588834,
World,OWID_WRL,2021,3.8092442,4.654845,
