Entity,Code,Year,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Population (historical estimates),Continent
Afghanistan,AFG,2000,1450.0,19542986.0,
Afghanistan,AFG,2017,638.0,35643420.0,
Africa,,2000,,818952374.0,
Africa,,2017,,1263333997.0,
Asia,,2000,,3735089775.0,
Asia,,2017,,4547095064.0,
Austria,AUT,2000,6.0,8010425.0,
Austria,AUT,2017,5.0,8797497.0,
Brazil,BRA,2000,69.0,175873712.0,
Brazil,BRA,2017,60.0,208504960.0,
Chile,CHL,2000,31.0,15351803.0,
Chile,CHL,2017,13.0,18368582.0,
Colombia,COL,2000,94.0,39215136.0,
Colombia,COL,2017,83.0,48351668.0,
Ethiopia,ETH,2000,1030.0,67031872.0,
Ethiopia,ETH,2017,401.0,108197944.0,
Europe,,2000,,727917165.0,
Europe,,2017,,745657647.0,
European Union (27),,2000,10.0,426635103.0,
European Union (27),,2017,6.0,443746907.0,
Germany,DEU,2000,7.0,81551680.0,
Germany,DEU,2017,7.0,82624368.0,
Greece,GRC,2000,3.0,11038112.0,
Greece,GRC,2017,3.0,10692230.0,
High-income countries,,2000,13.0,1073716442.0,
High-income countries,,2017,11.0,1202872536.0,
Indonesia,IDN,2000,272.0,214072416.0,
Indonesia,IDN,2017,177.0,264498848.0,
Iran,IRN,2000,48.0,65544380.0,
Iran,IRN,2017,16.0,84505080.0,
Italy,ITA,2000,4.0,56966400.0,
Italy,ITA,2017,2.0,60004024.0,
Low-income countries,,2000,845.0,390930582.0,
Low-income countries,,2017,453.0,626187698.0,
Lower-middle-income countries,,2000,422.0,2465592691.0,
Lower-middle-income countries,,2017,253.0,3236754793.0,
Morocco,MAR,2000,188.0,28554420.0,
Morocco,MAR,2017,70.0,35528116.0,
Nepal,NPL,2000,553.0,24559504.0,
Nepal,NPL,2017,186.0,28183424.0,
New Zealand,NZL,2000,12.0,3855266.0,
New Zealand,NZL,2017,9.0,4746253.0,
Nigeria,NGA,2000,1200.0,122851984.0,
Nigeria,NGA,2017,917.0,193495904.0,
North America,,2000,,486364446.0,
North America,,2017,,581258143.0,
Oceania,,2000,,31223133.0,
Oceania,,2017,,41817267.0,
Philippines,PHL,2000,160.0,77958224.0,
Philippines,PHL,2017,121.0,106738496.0,
Saudi Arabia,SAU,2000,24.0,21547398.0,
Saudi Arabia,SAU,2017,17.0,34193120.0,
Sierra Leone,SLE,2000,2480.0,4584074.0,
Sierra Leone,SLE,2017,1120.0,7677570.0,
Solomon Islands,SLB,2000,245.0,429986.0,
Solomon Islands,SLB,2017,104.0,643641.0,
South America,,2000,,349634344.0,
South America,,2017,,420982650.0,
South Korea,KOR,2000,17.0,46788588.0,
South Korea,KOR,2017,11.0,51511640.0,
South Sudan,SSD,2000,1730.0,6114443.0,
South Sudan,SSD,2017,1150.0,10658230.0,
Spain,ESP,2000,5.0,40741652.0,
Spain,ESP,2017,4.0,46584168.0,
Sub-Saharan Africa (WB),,2000,870.0,,
Sub-Saharan Africa (WB),,2017,534.0,,
Sudan,SDN,2000,667.0,26298778.0,
Sudan,SDN,2017,295.0,40679820.0,
Suriname,SUR,2000,221.0,479011.0,
Suriname,SUR,2017,120.0,587566.0,
Uganda,UGA,2000,578.0,24020710.0,
Uganda,UGA,2017,375.0,40127096.0,
Ukraine,UKR,2000,35.0,48879752.0,
Ukraine,UKR,2017,19.0,44657260.0,
Upper-middle-income countries,,2000,67.0,2191949480.0,
Upper-middle-income countries,,2017,41.0,2500616723.0,
Uzbekistan,UZB,2000,41.0,24925558.0,
Uzbekistan,UZB,2017,29.0,31945680.0,
Venezuela,VEN,2000,119.0,24427732.0,
Venezuela,VEN,2017,125.0,30563430.0,
World,OWID_WRL,2000,342.0,6148898816.0,
World,OWID_WRL,2017,211.0,7599822336.0,
