Entity,Code,Year,"Survival to age 65, male (% of cohort)"
Egypt,EGY,1960,37.320198
Egypt,EGY,1970,40.22574
Egypt,EGY,1980,48.656105
Egypt,EGY,1990,59.197727
Egypt,EGY,2000,64.25626
Egypt,EGY,2010,64.87102
Egypt,EGY,2020,68.23589
Equatorial Guinea,GNQ,1960,30.746689
Equatorial Guinea,GNQ,1970,11.770794
Equatorial Guinea,GNQ,1980,37.265686
Equatorial Guinea,GNQ,1990,41.313232
Equatorial Guinea,GNQ,2000,44.154636
Equatorial Guinea,GNQ,2010,50.019875
Equatorial Guinea,GNQ,2020,51.827457
Gibraltar,GIB,1960,70.03231
Gibraltar,GIB,1970,71.580315
Gibraltar,GIB,1980,75.34115
Gibraltar,GIB,1990,79.98509
Gibraltar,GIB,2000,86.116066
Gibraltar,GIB,2010,85.44541
Gibraltar,GIB,2020,88.44956
Malaysia,MYS,1960,44.015408
Malaysia,MYS,1970,56.260292
Malaysia,MYS,1980,65.52102
Malaysia,MYS,1990,71.263054
Malaysia,MYS,2000,72.91404
Malaysia,MYS,2010,74.504135
Malaysia,MYS,2020,77.03998
Singapore,SGP,1960,56.73808
Singapore,SGP,1970,63.862595
Singapore,SGP,1980,70.05874
Singapore,SGP,1990,76.91837
Singapore,SGP,2000,84.11535
Singapore,SGP,2010,87.64054
Singapore,SGP,2020,90.29972
Turks and Caicos Islands,TCA,1960,48.49488
Turks and Caicos Islands,TCA,1970,46.21254
Turks and Caicos Islands,TCA,1980,63.530434
Turks and Caicos Islands,TCA,1990,63.794765
Turks and Caicos Islands,TCA,2000,77.61869
Turks and Caicos Islands,TCA,2010,80.41497
Turks and Caicos Islands,TCA,2020,77.58671
Vietnam,VNM,1960,51.119663
Vietnam,VNM,1970,40.303825
Vietnam,VNM,1980,60.796394
Vietnam,VNM,1990,65.01537
Vietnam,VNM,2000,69.34105
Vietnam,VNM,2010,70.8054
Vietnam,VNM,2020,74.77852
