Entity,Code,Year,Healthy Life Expectancy (IHME),"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Continent
Afghanistan,AFG,2016,49.49,234.14021,34636212.0,
Africa,,2016,,,1232111820.0,
Argentina,ARG,2016,67.22,1831.5353,43668236.0,
Asia,,2016,,,4502955714.0,
Bangladesh,BGD,2016,62.77,95.181335,159784576.0,
Botswana,BWA,2016,56.6,959.7704,2352419.0,
Central African Republic,CAF,2016,43.65,46.332565,4904182.0,
Chile,CHL,2016,69.9,1996.5712,18083880.0,
China,CHN,2016,67.85,658.578,1401889664.0,
Colombia,COL,2016,69.09,1040.2124,47625960.0,
Cote d'Ivoire,CIV,2016,52.15,158.43535,24213620.0,
Democratic Republic of Congo,COD,2016,53.11,42.074097,81430976.0,
Egypt,EGY,2016,62.04,600.35864,99784032.0,
Eswatini,SWZ,2016,49.62,593.77423,1142529.0,
Ethiopia,ETH,2016,57.91,67.6436,105293232.0,
Europe,,2016,,,744516175.0,
Gabon,GAB,2016,57.58,443.9727,2086210.0,
Haiti,HTI,2016,55.9,148.26825,10713845.0,
India,IND,2016,58.89,204.64664,1338636288.0,
Indonesia,IDN,2016,62.95,317.0876,261850176.0,
Italy,ITA,2016,71.75,3481.5735,60118628.0,
Jamaica,JAM,2016,65.34,524.14905,2802699.0,
Japan,JPN,2016,73.16,4303.92,126993856.0,
Lesotho,LSO,2016,43.82,262.78925,2143876.0,
Nigeria,NGA,2016,56.28,190.94731,188666928.0,
North America,,2016,68.05,,576008328.0,
Oceania,,2016,54.34,,41101240.0,
Pakistan,PAK,2016,58.63,127.575714,213524848.0,
Russia,RUS,2016,61.91,1288.5962,145109152.0,
Saudi Arabia,SAU,2016,66.38,2654.3047,33416272.0,
South Africa,ZAF,2016,53.83,1110.7584,56422272.0,
South America,,2016,,,417101806.0,
Sudan,SDN,2016,58.17,305.3948,39377168.0,
Sweden,SWE,2016,70.88,5512.933,9953322.0,
Tajikistan,TJK,2016,63.09,216.90437,8725326.0,
Trinidad and Tobago,TTO,2016,63.51,1803.1381,1469334.0,
Ukraine,UKR,2016,63.03,802.77765,44833568.0,
United States,USA,2016,67.69,9775.0,327210208.0,
Vietnam,VNM,2016,65.91,371.97748,93126528.0,
World,OWID_WRL,2016,63.12,1294.8344,7513474048.0,
