Entity,Code,Year,Eggs | 00001783 || Production | 005510 || tonnes
Brazil,BRA,1961,219300.0
Brazil,BRA,1970,337536.0
Brazil,BRA,1980,792430.0
Brazil,BRA,1990,1256301.0
Brazil,BRA,2000,1569464.0
Brazil,BRA,2010,2087400.0
Brazil,BRA,2021,3481393.0
China,CHN,1961,1500000.0
China,CHN,1970,1870000.0
China,CHN,1980,2800000.0
China,CHN,1990,7946000.0
China,CHN,2000,21820000.0
China,CHN,2010,27627000.0
China,CHN,2021,34088100.0
India,IND,1961,170000.0
India,IND,1970,290000.0
India,IND,1980,583000.0
India,IND,1990,1161000.0
India,IND,2000,2035000.0
India,IND,2010,3378100.0
India,IND,2021,6710000.0
Mexico,MEX,1961,141224.0
Mexico,MEX,1970,342968.0
Mexico,MEX,1980,644427.0
Mexico,MEX,1990,1009795.0
Mexico,MEX,2000,1787942.0
Mexico,MEX,2010,2381375.0
Mexico,MEX,2021,3046910.2
Russia,RUS,2000,1902900.0
Russia,RUS,2010,2274000.0
Russia,RUS,2021,2516868.5
United States,USA,1961,3696600.0
United States,USA,1970,4053400.0
United States,USA,1980,4126100.0
United States,USA,1990,4034000.0
United States,USA,2000,5017000.0
United States,USA,2010,5437000.0
United States,USA,2021,6643722.0
