Entity,Code,Year,Nuclear (% growth)
Canada,CAN,1966,34.375
Canada,CAN,1970,96.030235
Canada,CAN,1980,7.8279614
Canada,CAN,1990,-8.644873
Canada,CAN,2000,-0.94041824
Canada,CAN,2010,0.62924623
Canada,CAN,2022,-5.8084846
China,CHN,2000,11.960661
China,CHN,2010,6.697619
China,CHN,2022,2.5276065
France,FRA,1966,55.518387
France,FRA,1970,58.638893
France,FRA,1980,53.280785
France,FRA,1990,3.3395767
France,FRA,2000,5.3058505
France,FRA,2010,4.584658
France,FRA,2022,-22.308613
Germany,DEU,1966,126.49572
Germany,DEU,1970,31.537378
Germany,DEU,1980,6.7705154
Germany,DEU,1990,-5.6726336
Germany,DEU,2000,-0.23410916
Germany,DEU,2010,4.1680217
Germany,DEU,2022,-49.80471
World,OWID_WRL,1966,34.822475
World,OWID_WRL,1970,27.663158
World,OWID_WRL,1980,9.382093
World,OWID_WRL,1990,2.85784
World,OWID_WRL,2000,2.257073
World,OWID_WRL,2010,2.576983
World,OWID_WRL,2022,-4.4080677
