Entity,Code,Year,Palm fruit oil | 00000254 || Area harvested | 005312 || hectares
Asia,,1961,114402
Asia,,1970,251950
Asia,,1980,998724
Asia,,1990,2571087
Asia,,2000,5695042
Asia,,2010,13886769
Asia,,2021,21205984
Caribbean (FAO),,1990,3000
Caribbean (FAO),,2000,13527
Caribbean (FAO),,2010,16857
Caribbean (FAO),,2021,22000
Eastern Africa (FAO),,1961,1900
Eastern Africa (FAO),,1970,2400
Eastern Africa (FAO),,1980,6500
Eastern Africa (FAO),,1990,7400
Eastern Africa (FAO),,2000,7500
Eastern Africa (FAO),,2010,15020
Eastern Africa (FAO),,2021,16177
Senegal,SEN,1961,7000
Senegal,SEN,1970,7000
Senegal,SEN,1980,7000
Senegal,SEN,1990,6000
Senegal,SEN,2000,6500
Senegal,SEN,2010,10500
Senegal,SEN,2021,11356
