Entity,Code,Year,"Death rate per 100,000 people - Cause: Amphetamine use disorders - Sex: Both sexes - Age group: ALLAges"
Mongolia,MNG,2000,0.02
Mongolia,MNG,2005,0.02
Mongolia,MNG,2010,0.03
Mongolia,MNG,2015,0.02
Mongolia,MNG,2019,0.02
Morocco,MAR,2000,0.02
Morocco,MAR,2005,0.02
Morocco,MAR,2010,0.01
Morocco,MAR,2015,0.01
Morocco,MAR,2019,0.01
Sao Tome and Principe,STP,2000,0.01
Sao Tome and Principe,STP,2005,0.01
Sao Tome and Principe,STP,2010,0.01
Sao Tome and Principe,STP,2015,0.01
Sao Tome and Principe,STP,2019,0.01
Sri Lanka,LKA,2000,0.04
Sri Lanka,LKA,2005,0.04
Sri Lanka,LKA,2010,0.03
Sri Lanka,LKA,2015,0.04
Sri Lanka,LKA,2019,0.04
United Arab Emirates,ARE,2000,0.03
United Arab Emirates,ARE,2005,0.03
United Arab Emirates,ARE,2010,0.03
United Arab Emirates,ARE,2015,0.03
United Arab Emirates,ARE,2019,0.03
