Entity,Code,Year,Fish and seafood | 00002960 || Production | 005511 || tonnes
Bangladesh,BGD,1961,450640.0
Bangladesh,BGD,1970,690100.0
Bangladesh,BGD,1980,646970.0
Bangladesh,BGD,1990,846140.0
Bangladesh,BGD,2000,1661380.0
Bangladesh,BGD,2010,3035100.0
Bangladesh,BGD,2020,4384220.0
Brazil,BRA,1961,274800.0
Brazil,BRA,1970,572940.0
Brazil,BRA,1980,808610.0
Brazil,BRA,1990,640290.0
Brazil,BRA,2000,839300.0
Brazil,BRA,2010,1196420.0
Brazil,BRA,2020,1309880.0
China,CHN,1961,2835600.0
China,CHN,1970,3254400.0
China,CHN,1980,4455360.0
China,CHN,1990,13136840.0
China,CHN,2000,36170700.0
China,CHN,2010,50320880.0
China,CHN,2020,62241700.0
India,IND,1961,961000.0
India,IND,1970,1758500.0
India,IND,1980,2445340.0
India,IND,1990,3799720.0
India,IND,2000,5608960.0
India,IND,2010,8475090.0
India,IND,2020,13249700.0
Indonesia,IDN,1961,906800.0
Indonesia,IDN,1970,1225200.0
Indonesia,IDN,1980,1827330.0
Indonesia,IDN,1990,3022360.0
Indonesia,IDN,2000,4869350.0
Indonesia,IDN,2010,7691140.0
Indonesia,IDN,2020,13429320.0
Japan,JPN,1961,6260570.0
Japan,JPN,1970,8807900.0
Japan,JPN,1980,10451670.0
Japan,JPN,1990,10368920.0
Japan,JPN,2000,5835540.0
Japan,JPN,2010,4809420.0
Japan,JPN,2020,3819400.0
Peru,PER,1961,5216000.0
Peru,PER,1970,12483240.0
Peru,PER,1980,2709560.0
Peru,PER,1990,6874130.0
Peru,PER,2000,10663850.0
Peru,PER,2010,4390630.0
Peru,PER,2020,4968960.0
South Africa,ZAF,1961,1010800.0
South Africa,ZAF,1970,1218950.0
South Africa,ZAF,1980,854810.0
South Africa,ZAF,1990,538200.0
South Africa,ZAF,2000,646390.0
South Africa,ZAF,2010,631970.0
South Africa,ZAF,2020,452870.0
United States,USA,1961,2813910.0
United States,USA,1970,2842950.0
United States,USA,1980,3707470.0
United States,USA,1990,5871200.0
United States,USA,2000,5174470.0
United States,USA,2010,4808740.0
United States,USA,2020,5349930.0
