Entity,Code,Year,Hydro - % electricity
Brazil,BRA,1985,92.096725
Brazil,BRA,1990,92.769
Brazil,BRA,1995,92.12764
Brazil,BRA,2000,87.96777
Brazil,BRA,2005,84.42333
Brazil,BRA,2010,78.95571
Brazil,BRA,2015,62.938923
Brazil,BRA,2020,64.51104
Brazil,BRA,2022,62.867718
France,FRA,1985,17.97452
France,FRA,1990,12.9122715
France,FRA,1995,14.885994
France,FRA,2000,12.140181
France,FRA,2005,8.798653
France,FRA,2010,10.87362
France,FRA,2015,9.680792
France,FRA,2020,11.871029
France,FRA,2022,9.834916
India,IND,1985,27.798811
India,IND,1990,23.07354
India,IND,1995,17.773872
India,IND,2000,13.474159
India,IND,2005,13.827854
India,IND,2010,11.599305
India,IND,2015,10.080932
India,IND,2020,10.348054
India,IND,2022,9.414526
Sweden,SWE,1985,51.76316
Sweden,SWE,1990,49.664337
Sweden,SWE,1995,45.926624
Sweden,SWE,2000,54.10728
Sweden,SWE,2005,45.971207
Sweden,SWE,2010,44.728867
Sweden,SWE,2015,46.487656
Sweden,SWE,2020,44.199535
Sweden,SWE,2022,40.288017
World,OWID_WRL,1985,20.020555
World,OWID_WRL,1990,18.049171
World,OWID_WRL,1995,18.560068
World,OWID_WRL,2000,17.360273
World,OWID_WRL,2005,16.177504
World,OWID_WRL,2010,16.234488
World,OWID_WRL,2015,16.297554
World,OWID_WRL,2020,16.408636
World,OWID_WRL,2022,14.963165
