Entity,Code,Year,Share of single parent families
Argentina,ARG,1970,7.1
Argentina,ARG,1980,7.0
Argentina,ARG,2010,11.7
Brazil,BRA,1960,6.2
Brazil,BRA,1970,6.6
Brazil,BRA,1980,6.9
Brazil,BRA,2000,10.1
Brazil,BRA,2010,10.5
Colombia,COL,1990,9.3
Colombia,COL,2000,10.7
Colombia,COL,2010,12.4
Colombia,COL,2015,12.7
Indonesia,IDN,1980,6.3
Indonesia,IDN,1990,5.9
Indonesia,IDN,2000,6.3
Indonesia,IDN,2010,6.1
Japan,JPN,2000,7.6
Japan,JPN,2010,8.7
South Korea,KOR,2010,9.2
United States,USA,1960,5.2
United States,USA,1970,6.8
United States,USA,1980,7.7
United States,USA,1990,8.4
United States,USA,2000,8.6
United States,USA,2010,9.3
